x,y,gt_c0,mu_h_at_gt_c0,j0_at_gt_c0,gt_c16,mu_h_at_gt_c16,j0_at_gt_c16,gt_c30,mu_h_at_gt_c30,j0_at_gt_c30,gt_c43,mu_h_at_gt_c43,j0_at_gt_c43,gt_c63,mu_h_at_gt_c63,j0_at_gt_c63,gt_c71,mu_h_at_gt_c71,j0_at_gt_c71
1.8311099,38.687588,0.08592603,0.37757325,0.00093181885,0.10686,0.4801495,0.0011914358,0.136821,0.56302285,0.001591349,0.1651534,0.59698105,0.0020045077,0.44800055,0.1355878,0.009015255,0.6909128,-0.45983446,0.018698994
2.074575,38.61109,0.071048655,0.2698245,0.0007561364,0.08863826,0.39366126,0.00096461084,0.12359052,0.53372395,0.0014103707,0.14682283,0.5789987,0.0017330697,0.4389167,0.1589338,0.0086895535,0.67229646,-0.42235714,0.018069793
2.3180404,38.53459,0.060858767,0.17158341,0.0006396931,0.07657422,0.31409574,0.0008205771,0.11504529,0.5089598,0.0012972131,0.13886249,0.56668246,0.0016199242,0.43735224,0.1629386,0.008634152,0.66418314,-0.4052288,0.017776534
2.5615056,38.458096,0.05514034,0.10470581,0.0005756513,0.06995441,0.26037216,0.00074348535,0.110730335,0.49444103,0.0012411396,0.13795772,0.56508696,0.0016072391,0.44120705,0.15306222,0.008771029,0.6614039,-0.39925992,0.01767377
1.993373,38.8901,0.05943605,0.15583587,0.0006236741,0.06849056,0.24734521,0.00072661677,0.10995759,0.49168658,0.0012311717,0.14174542,0.57149386,0.0016605825,0.41023245,0.23143616,0.0077068033,0.6491168,-0.37229228,0.017206877
2.2464602,38.80496,0.052146543,0.06554365,0.0005424842,0.05947341,0.15625644,0.00062409363,0.103388935,0.4662342,0.0011473258,0.13512519,0.5598179,0.0015677467,0.41007367,0.23183131,0.00770156,0.6430131,-0.35856682,0.016968152
2.4995472,38.719814,0.047038857,-0.009091377,0.00048645455,0.053369228,0.081914425,0.00055600033,0.100179106,0.4523778,0.0011069209,0.13585833,0.5612221,0.0015779361,0.41555566,0.21814546,0.007883845,0.636003,-0.34255427,0.016689196
2.17488,39.07532,0.04486656,-0.044264555,0.00046283373,0.045212522,-0.038511753,0.0004665873,0.08920051,0.39687848,0.0009714394,0.12436089,0.53571606,0.0014207136,0.37873936,0.3080855,0.0067098993,0.65087694,-0.376211,0.017274931
2.4375892,38.981537,0.040929906,-0.11414099,0.00042033775,0.03966338,-0.13850641,0.00040674937,0.08869456,0.39398503,0.00096529414,0.12972035,0.54855835,0.0014933257,0.38753358,0.287061,0.006979565,0.62972003,-0.32799017,0.016435334
2.3756309,39.24326,0.039813697,-0.13556242,0.00040835977,0.035830755,-0.2187314,0.00036587295,0.07832305,0.32699203,0.00084116886,0.11553981,0.51053286,0.0013036847,0.36142707,0.3484543,0.006198666,0.66690916,-0.411034,0.017876213
1.4549216,37.968254,0.14271435,0.5730195,0.001674328,0.18714017,0.603057,0.0023516307,0.19658685,0.6014372,0.002508521,0.20312664,0.5990293,0.0026200062,0.5518473,-0.13519548,0.013148404,0.81687,-0.6030296,0.020021921
1.7320184,37.959023,0.118839465,0.5205786,0.0013471054,0.16595949,0.59747803,0.002016808,0.17944826,0.6026038,0.0022273925,0.17940234,0.6025958,0.0022266605,0.5296117,-0.07750313,0.012213389,0.78219956,-0.59019494,0.020360207
2.0091152,37.949795,0.10025548,0.4527192,0.0011078784,0.14255331,0.57276905,0.00167204,0.16059712,0.593734,0.001935573,0.15948191,0.5928229,0.001918851,0.508684,-0.022765927,0.011352737,0.7464115,-0.5521728,0.020065822
2.286212,37.940563,0.0830691,0.3595574,0.0008975379,0.121439524,0.5279592,0.001381618,0.14444229,0.5756297,0.0016989432,0.1463688,0.57837605,0.0017265425,0.49343404,0.017214473,0.010741111,0.7227143,-0.5168485,0.019593392
1.5621117,38.218517,0.14271435,0.5730195,0.001674328,0.18714017,0.603057,0.0023516307,0.19658685,0.6014372,0.002508521,0.20312664,0.5990293,0.0026200062,0.5518473,-0.13519548,0.013148404,0.81687,-0.6030296,0.020021921
1.8483115,38.204044,0.1063924,0.47833705,0.0011854685,0.14169788,0.5714177,0.0016599095,0.16085733,0.59394,0.0019394837,0.16692042,0.59804106,0.0020315116,0.49897474,0.002688237,0.010961654,0.74029946,-0.5437374,0.019962553
2.1345112,38.18957,0.08362997,0.3631842,0.000904247,0.11437806,0.50680757,0.0012884963,0.13998581,0.56860626,0.001635724,0.14604376,0.5779247,0.0017218734,0.4760942,0.0626081,0.010064322,0.705943,-0.48799372,0.019153874
1.6875077,38.458294,0.11733915,0.5161078,0.0013273112,0.15174872,0.5851692,0.0018044898,0.16947056,0.5993819,0.0020707517,0.18913881,0.60290706,0.002384423,0.5010314,-0.002704267,0.011044014,0.7525355,-0.56010914,0.02015509
1.9828106,38.43858,0.08400594,0.3655901,0.0009087503,0.10904357,0.48836565,0.00121941,0.13745736,0.56418645,0.001600238,0.15251288,0.5860331,0.001815668,0.4612041,0.101410285,0.009500628,0.6971473,-0.47175932,0.018894026
6.447986,38.965843,0.051186837,0.05231142,0.0005319033,0.0822181,0.35396743,0.0008873776,0.21293677,0.59361947,0.0027918026,0.19443421,0.6020056,0.0024723448,0.45908612,0.10690944,0.009421837,0.6548205,-0.38492477,0.017426033
6.6878014,39.15118,0.049878135,0.033699512,0.00051751465,0.06699088,0.23352814,0.0007094018,0.19386367,0.6021372,0.0024627976,0.18318945,0.6030332,0.002287434,0.4399524,0.15627988,0.0087263435,0.6062168,-0.2719305,0.015461157
6.9276166,39.336517,0.04573698,-0.029902458,0.00047228351,0.051703904,0.059483528,0.0005376007,0.16801375,0.5986428,0.002048296,0.16719493,0.59819615,0.002035721,0.416951,0.21464792,0.007930659,0.5515995,-0.13455649,0.013137903
7.167432,39.521854,0.038518015,-0.16141605,0.00039449538,0.03598899,-0.21520877,0.00036755353,0.13843302,0.56593025,0.0016138984,0.15540496,0.5890856,0.0018582146,0.38245943,0.29923144,0.006823149,0.48901647,0.028791763,0.010566712
6.282333,39.28026,0.049367394,0.026251554,0.0005119117,0.071660206,0.2750039,0.0007632228,0.20112091,0.59987414,0.0025855603,0.1985441,0.6008223,0.002541637,0.41787115,0.2123385,0.00796162,0.61883396,-0.3023166,0.015988274
6.5301204,39.48429,0.044572774,-0.049196243,0.0004596486,0.050524574,0.042976618,0.00052461633,0.17186001,0.6004411,0.0021078093,0.18264134,0.6029955,0.0022785915,0.39127576,0.27801913,0.0070963656,0.5581955,-0.15152878,0.01341801
6.777908,39.68832,0.039075125,-0.15016556,0.0004004517,0.03372938,-0.26743054,0.00034361435,0.14504507,0.57650733,0.0017075607,0.17007037,0.5996655,0.0020800275,0.36232275,0.34640187,0.0062244795,0.5035201,-0.009229447,0.01114403
6.116679,39.59467,0.046147235,-0.023259163,0.00047674443,0.04808116,0.0070171356,0.0004978319,0.1827115,0.6030009,0.0022797233,0.20207866,0.5994823,0.0026019805,0.36909986,0.3307404,0.0064220442,0.5813363,-0.21034762,0.014405056
6.372439,39.817398,0.04097356,-0.11331844,0.00042080667,0.029064646,-0.39020348,0.00029458245,0.15410946,0.5877602,0.0018391085,0.18679589,0.60307217,0.0023460041,0.34255448,0.39067304,0.0056706625,0.5224347,-0.058763497,0.011915754
5.951026,39.909084,0.044213317,-0.05528927,0.00045575458,0.02199478,-0.62935925,0.00022123821,0.16562621,0.59727514,0.0020117192,0.20558155,0.59787154,0.0026624787,0.32315472,0.431758,0.0051590404,0.5457604,-0.11947009,0.01289082
7.1331334,38.76385,0.04508993,-0.040543556,0.0004652568,0.055158954,0.10493994,0.00057585817,0.16986091,0.599568,0.0020767855,0.15396604,0.5876095,0.001836998,0.44994855,0.13056216,0.009085981,0.63029015,-0.3293196,0.016458508
7.450928,38.849033,0.03394162,-0.26234365,0.00034585752,0.040492132,-0.122451544,0.0004156364,0.11325237,0.5031011,0.0012738286,0.1051098,0.47326732,0.0011691394,0.38919833,0.28304535,0.0070313737,0.62346554,-0.3133049,0.016179496
7.768723,38.934216,0.021777742,-0.63806057,0.00021900456,0.024594504,-0.5321951,0.00024807546,0.05530542,0.10677695,0.0005774874,0.055082012,0.10397196,0.000575003,0.32176146,0.43460715,0.0051234863,0.6103529,-0.28196096,0.015634833
8.086518,39.019398,0.020556878,-0.68891597,0.00020645984,0.0126,-1.1338153,0.00012550008,0.0126,-1.1338153,0.00012550008,0.019712476,-0.72613025,0.00019780287,0.2701255,0.52824306,0.0039126393,0.5827206,-0.213824,0.01446412
7.144566,39.01652,0.046044342,-0.024917841,0.00047562525,0.05524104,0.105970144,0.0005767712,0.16604693,0.59753084,0.002018144,0.15135682,0.58471656,0.0017987681,0.4322228,0.17603272,0.008453943,0.6048248,-0.26854017,0.015402544
7.462616,39.10311,0.03459588,-0.2469058,0.00035277975,0.040785324,-0.11687279,0.00041878427,0.11099564,0.49537563,0.0012445669,0.10216715,0.46107554,0.0011319027,0.360062,0.35157436,0.006159454,0.5777708,-0.20136935,0.014252874
7.7806654,39.189705,0.024614826,-0.53148293,0.00024828568,0.026929976,-0.45454597,0.00027231575,0.06742004,0.23753214,0.00071432133,0.06736955,0.23706293,0.000713742,0.2898548,0.4954921,0.0043513607,0.5158264,-0.04147563,0.011643923
7.1559987,39.269188,0.042799026,-0.07991314,0.00044046526,0.048452776,0.012646198,0.0005018955,0.15055561,0.583771,0.0017870916,0.14468871,0.57599056,0.0017024641,0.3948531,0.26932544,0.007209161,0.54166687,-0.10886313,0.012718211
7.4743032,39.357193,0.033254165,-0.27896476,0.00033859556,0.034726307,-0.24387193,0.00035416085,0.10936438,0.48953915,0.0012235347,0.113318235,0.5033207,0.0012746858,0.33052027,0.41646188,0.005349632,0.48382455,0.042389445,0.010363444
