concentration,mu_h(c)
0.03284051,-0.29003048
0.043108047,-0.27549076
0.0501909,-0.26166058
0.044704456,-0.27014518
0.058156008,-0.25640345
0.057000304,-0.25143886
0.016223223,0.04437709
0.014054324,0.09256673
0.03150051,0.13950944
0.0126,0.06066227
0.01466334,0.10711932
0.041602685,0.15353036
0.0126,0.10333729
0.0126,0.14625335
0.0126,0.17012286
0.014215888,-0.295568
0.015303311,-0.32292843
0.015809659,-0.35267663
0.014490738,-0.3849094
0.01551064,-0.30046773
0.01408465,-0.32802033
0.013186344,-0.35782576
0.021710783,-0.30566812
0.015845973,-0.3333037
0.213634442,0.60181546
0.219142794,0.60252464
0.21534068,0.60288835
0.224320726,0.60303533
0.262211924,0.57277966
0.266310272,0.5771172
0.278961678,0.58028865
0.327014868,0.51056427
0.339853927,0.5184672
0.400031318,0.425758
0.0126,0.07639313
0.0126,0.1044898
0.0126,0.1359427
0.021416687,0.17317295
0.012722982,0.19662166
0.0126,0.22407603
0.056012189,0.2844758
0.044243069,0.3036306
0.088345587,0.4030354
0.102673848,0.3813138
0.100354297,0.3837359
0.109154728,0.39106894
0.127804004,0.49246216
0.122105936,0.49181437
0.125151836,0.4952364
0.151862528,0.5741513
0.127482759,0.57273316
0.365424919,0.39510286
0.377894549,0.40623719
0.39048456,0.41662198
0.420779153,0.32047027
0.435298244,0.33254623
0.454369369,0.3439557
0.477800567,0.24562326
0.505328979,0.2576533
0.551530953,0.17266071
0.551530953,0.109541014
0.598099775,0.055326648
0.601745257,0.011169156
0.517637539,0.17426965
0.550144902,0.11417933
0.574813137,0.063829914
0.501442615,0.17650259
0.530457056,0.11987786
0.486817094,0.17975843
0.027518722,-0.37093186
0.023109361,-0.4175086
0.015643948,-0.4696622
0.0126,-0.5275233
0.024897901,-0.37554502
0.018795564,-0.42257643
0.0126,-0.47497702
0.019359642,-0.38019514
0.015236067,-0.4275639
0.601745257,-0.025352888
0.60878476,-0.053324632
0.618926494,-0.07438147
0.573297754,0.034909707
0.579458284,0.0008997356
0.586171462,-0.024777785
0.548673716,0.059590146
0.554921904,0.027864091
0.525680525,0.08556889
0.026973281,-0.49340796
0.016537716,-0.572629
0.014456308,-0.66152406
0.0126,-0.7592621
0.018953501,-0.5056195
0.012688214,-0.58532524
0.0126,-0.67443347
0.013038734,-0.51690173
0.0126,-0.5969312
0.631637943,-0.096165374
0.640992813,-0.11150758
0.646106624,-0.1236832
0.58393571,-0.036690906
0.592442769,-0.05497895
0.596508499,-0.06795225
0.547641077,0.0012469467
0.551484009,-0.014599094
0.514962081,0.03970009
0.0126,-1.0436196
0.014570887,-1.0145917
0.023228621,-0.98328376
0.032634273,-0.9501238
0.0126,-1.1196415
0.015877164,-1.0874214
0.023986551,-1.0526514
0.0126,-1.191458
0.013521165,-1.1556716
0.0126,-1.2576401
0.022098283,-0.7054999
0.014565145,-0.81263113
0.0126,-0.926167
0.02467006,-0.72557974
0.013111734,-0.8324685
0.0126,-0.9455216
0.016125792,-0.7434077
0.0126,-0.84982395
0.5981987,-0.17626068
0.573953022,-0.10206163
0.539641652,-0.03670332
0.506189024,0.023808904
0.608155659,-0.15628265
0.579862063,-0.086059645
0.544555919,-0.02330672
0.626435516,-0.13893722
0.586956011,-0.07206617
0.012605595,-1.2274852
0.012867401,-1.1951973
0.013439441,-1.1616395
0.0126,-1.3086491
0.0126,-1.2765887
0.0126,-1.242249
0.0126,-1.3571258
0.0126,-1.3229015
0.0126,-1.4029667
0.53033731,-0.0054201707
0.56036779,-0.059256643
0.593418463,-0.115302324
0.600068955,-0.08019865
0.646635609,-0.13854724
0.658165197,-0.20212466
0.674765453,-0.16403523
0.699341693,-0.23033768
0.701354967,-0.26007625
0.589790909,-0.09104423
0.637252864,-0.14480346
0.689042155,-0.20042786
0.642586001,-0.16808638
0.6929744,-0.22577566
0.702256706,-0.2869685
0.705427038,-0.25199038
0.71384332,-0.3141817
0.735291036,-0.3413183
0.759078676,-0.36117244
0.758951088,-0.38049918
0.765809379,-0.39898425
0.729631082,-0.2827222
0.74781052,-0.30281496
0.747965019,-0.32283533
0.695606176,-0.22547662
0.717124646,-0.24476647
0.656676354,-0.16843465
0.0126,-1.4850242
0.0126,-1.4660182
0.0126,-1.4384134
0.0126,-1.4169772
0.0126,-1.3946481
0.0126,-1.3642213
0.0126,-1.3490844
0.0126,-1.3232968
0.0126,-1.2820678
0.785566078,-0.43607807
0.76369965,-0.37967187
0.734368135,-0.31732643
0.698795287,-0.25125664
0.779968781,-0.42430472
0.759166356,-0.36567998
0.730440871,-0.30251613
0.765809379,-0.41183132
0.754174157,-0.35150015
0.013279502,-1.3428473
0.012877477,-1.3997598
0.012770421,-1.4561005
0.01271372,-1.5100231
0.0126,-1.3869345
0.0126,-1.447644
0.0126,-1.5067213
0.0126,-1.4356644
0.0126,-1.4985266
0.78787136,-0.45057184
0.793626405,-0.46388167
0.800760492,-0.47511917
0.77013526,-0.40186423
0.775046214,-0.41849464
0.781107376,-0.43382847
0.753989465,-0.36547083
0.759753859,-0.38394094
0.737980219,-0.32615215
0.012658296,-1.498632
0.01280114,-1.5070307
0.012813244,-1.5110712
0.01319202,-1.4628413
0.013305428,-1.4634366
0.013080275,-1.4601593
0.013788709,-1.4237046
0.013782016,-1.4171176
0.017741346,-1.3826606
0.730297738,-0.37703001
0.76736345,-0.41347468
0.786506964,-0.44589645
0.754005858,-0.41890514
0.789662913,-0.45263302
0.806854601,-0.48227084
0.777013484,-0.4485724
0.806854601,-0.4799649
0.799373614,-0.46712112
0.012927764,-1.4087822
0.012702081,-1.4247677
0.012610571,-1.4341576
0.0126,-1.4356914
0.01295793,-1.4349804
0.012712335,-1.4527142
0.0126,-1.4637012
0.012895394,-1.464493
0.012613164,-1.4843686
0.774762334,-0.43407863
0.748750764,-0.38248026
0.726707193,-0.31111676
0.730725988,-0.41480136
0.689857372,-0.3768127
0.66606508,-0.3165148
0.663048932,-0.3457592
0.622500656,-0.30028546
0.597496191,-0.25352085
0.0126,-1.338876
0.0126,-1.3306494
0.0126,-1.3046093
0.0126,-1.2639434
0.0126,-1.3758161
0.0126,-1.3626733
0.0126,-1.3329949
0.0126,-1.4062464
0.0126,-1.3906724
0.43112977,0.09765658
0.570341738,-0.074499905
0.652829055,-0.2097804
0.530078469,0.08200334
0.650842896,-0.07530449
0.706198987,-0.19893211
0.60762983,0.07811727
0.678761108,-0.067824766
0.621427471,0.07279008
0.013559952,-1.103498
0.012691491,-1.0606918
0.0126,-0.9996095
0.0126,-0.93510985
0.012678082,-1.1704302
0.0126,-1.1140497
0.0126,-1.046283
0.0126,-1.2226295
0.0126,-1.1582549
