step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,interp_c_loss,interp_e11_loss,interp_e22_loss,interp_e12_loss,total_loss,test_total_loss,test_c_loss,test_e11_loss,test_e22_loss,test_e12_loss,test_allen_cahn_loss,test_force_balance_loss,test_k_reg_loss,test_interp_c_loss,test_interp_e11_loss,test_interp_e22_loss,test_interp_e12_loss,k_std,k_min,k_max
10,adam,0.04270045375151019,0.42807152578907626,1.882812507690922,12.79093477802892,0.01204279608904354,2.7897742234751107e-06,0.00012106761630181404,0.0,0.0,0.0,0.0,3.15484518389548,2.872807741165161,0.14606833457946777,0.2610211968421936,0.8397256135940552,8.178772926330566,0.006762980483472347,2.549745204305509e-06,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
11,adam,0.03771480978015931,0.4115770439947805,1.7989237616139073,12.638903863968387,0.011306610138666245,6.3057621358189684e-06,0.00012103528382384309,0.0,0.0,0.0,0.0,3.024013611578172,2.6526474952697754,0.1239563450217247,0.2697468101978302,0.7765195369720459,8.02945327758789,0.005652048159390688,6.038020728738047e-06,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
12,adam,0.03316712938249111,0.3965124507104197,1.6923931990900347,12.404641489828787,0.01056878109492602,1.2200898210369726e-05,0.00012112734768907689,0.0,0.0,0.0,0.0,2.8829649648358746,2.5019750595092773,0.11003400385379791,0.27755704522132874,0.7175511121749878,7.833922863006592,0.006070028990507126,1.3544634384743404e-05,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
13,adam,0.030163272073672663,0.3830534315878345,1.5974714025374381,12.148952637949298,0.01000471368071533,1.9898374962541575e-05,0.00012110758830057157,0.0,0.0,0.0,0.0,2.762971924197289,2.4180450439453125,0.10741610080003738,0.26953956484794617,0.6647833585739136,7.59095573425293,0.007187713403254747,2.5459370590397157e-05,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
14,adam,0.028783654794096947,0.37214867049647915,1.512395485754936,11.84996598766696,0.009477648012820751,2.969048123744752e-05,0.00012105422713155408,0.0,0.0,0.0,0.0,2.664233899885608,2.3710358142852783,0.11091317981481552,0.25208839774131775,0.6217135787010193,7.31710958480835,0.008106011897325516,3.986950468970463e-05,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
15,adam,0.028369269664249113,0.3626380101326973,1.4531935722597185,11.576538670447565,0.009051862112697094,3.905790119108954e-05,0.00012110283170195837,0.0,0.0,0.0,0.0,2.5913760662078857,2.321190595626831,0.1097351461648941,0.24336393177509308,0.612494945526123,7.098499774932861,0.008565136231482029,5.5907221394591033e-05,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
16,adam,0.028152831439529697,0.3543275450506518,1.4164590566389021,11.338454308048371,0.008763793285094922,4.824420665822653e-05,0.00012111214070295494,0.0,0.0,0.0,0.0,2.536270826093612,2.2934770584106445,0.11539171636104584,0.22158989310264587,0.5841394066810608,6.8521728515625,0.008824766613543034,6.606429087696597e-05,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
17,adam,0.027854261559344107,0.34607241038353215,1.389597442842299,11.1219726070281,0.008579527148075642,5.441377769813933e-05,0.00012112583921876766,0.0,0.0,0.0,0.0,2.4869315931873937,2.2220618724823,0.1107863262295723,0.2144363969564438,0.5773894190788269,6.692107677459717,0.008963823318481445,7.611240289406851e-05,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
18,adam,0.027379563378710902,0.3406584724303215,1.3713637667317544,10.96724094883088,0.008493185343761598,6.265615569821919e-05,0.0001212098075249683,0.0,0.0,0.0,0.0,2.450825745059598,2.150439739227295,0.10875580459833145,0.19966751337051392,0.5592422485351562,6.51019811630249,0.009054599329829216,8.310401608468965e-05,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
19,adam,0.02670290873896691,0.33341934123346884,1.3555556766448482,10.766828936915244,0.00847816887882448,6.732592056880915e-05,0.00012092778835663452,0.0,0.0,0.0,0.0,2.4067821425776326,2.0305731296539307,0.09804271161556244,0.19349220395088196,0.551642894744873,6.406193256378174,0.009097786620259285,9.145349031314254e-05,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
20,adam,0.02595958924822269,0.3279189428975505,1.3395594050807338,10.64093380589639,0.00848210419738485,7.295168817959606e-05,0.00012116418492364426,0.0,0.0,0.0,0.0,2.3713695156958794,1.898752212524414,0.085929736495018,0.18692505359649658,0.5438486933708191,6.320890426635742,0.009045402519404888,0.00010004983778344467,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
21,adam,0.025065025915541956,0.3227733642824234,1.3329856164993779,10.521105612477948,0.008521825645960147,7.717386301186296e-05,0.00012116654655866085,0.0,0.0,0.0,0.0,2.340339829844813,1.7902089357376099,0.07676704972982407,0.18004079163074493,0.5329437851905823,6.2247843742370605,0.00891745276749134,0.00010448112152516842,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
22,adam,0.024372978796882015,0.31885130847654036,1.3234928577176985,10.39578213230256,0.008524075300703126,8.520234217529275e-05,0.00012125006164311461,0.0,0.0,0.0,0.0,2.3118631839752197,1.733449101448059,0.07318229228258133,0.17462855577468872,0.5243849754333496,6.10134220123291,0.008892303332686424,0.00010477564501343295,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
23,adam,0.02377667908947314,0.31592982046065793,1.3114082351807625,10.316822913385206,0.008463854556001963,8.740961399575275e-05,0.00012105029412440115,0.0,0.0,0.0,0.0,2.2886194875163417,1.6553184986114502,0.06588167697191238,0.1722831279039383,0.518981397151947,6.02718448638916,0.008733689785003662,0.00010852306877495721,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
24,adam,0.02332163692241715,0.3130890938543504,1.3053142063079342,10.164400377581197,0.008435082471659106,9.534421359046152e-05,0.00012117477989147207,0.0,0.0,0.0,0.0,2.26409484494117,1.6128647327423096,0.06218187138438225,0.1713102012872696,0.5177642107009888,5.936418533325195,0.008616887964308262,0.00010827883670572191,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
25,adam,0.02302135935714168,0.3116406365748375,1.301440538898591,10.084440046741117,0.008354996991974692,9.697636579080756e-05,0.00012103212629294683,0.0,0.0,0.0,0.0,2.2504442238038584,1.5572078227996826,0.056644782423973083,0.17118044197559357,0.5123209357261658,5.890480041503906,0.008448188193142414,0.00011186049232492223,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
26,adam,0.022817927923414014,0.31090456151193185,1.2948491342606083,9.989727204845797,0.008327925457589088,0.00010191483916940107,0.00012108495678647512,0.0,0.0,0.0,0.0,2.236725899481004,1.5257453918457031,0.05383419618010521,0.17077405750751495,0.5111467838287354,5.824277400970459,0.008309193886816502,0.00011141701543238014,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
27,adam,0.022668785565803127,0.30969918062610013,1.2892602797477477,9.891553909547868,0.00824912104214872,0.00010261719134793947,0.00012108821594606965,0.0,0.0,0.0,0.0,2.222723430202853,1.498408317565918,0.05138123780488968,0.17053386569023132,0.5096364617347717,5.76801061630249,0.008186466060578823,0.00011224215268157423,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
28,adam,0.022644775348805612,0.3100451259843765,1.283701039129688,9.839815601225823,0.008195388220971631,0.00010771136599472694,0.00012132415764837435,0.0,0.0,0.0,0.0,2.2166356886586835,1.4897546768188477,0.050779495388269424,0.17081676423549652,0.5108911395072937,5.7088727951049805,0.00813480094075203,0.00011152434308314696,0.00012111648538848385,0.0,0.0,0.0,0.0,0.010633540339767933,0.9864000678062439,1.0223886966705322
