concentration,j_0(c)
0.013220305,2.0398607e-05
0.0126,2.0150823e-05
0.0126,1.9896741e-05
0.0126,2.0306363e-05
0.0126,2.0050476e-05
0.065495419,1.4846733e-05
0.062214144,1.5160866e-05
0.053789897,1.5532489e-05
0.050889412,1.7651488e-05
0.07632054,1.8025145e-05
0.082898669,1.844362e-05
0.033706555,2.1354233e-05
0.068498922,2.1729093e-05
0.016421397,2.5931797e-05
0.027005407,1.9945444e-05
0.040662479,2.0138083e-05
0.053603352,2.0335276e-05
0.023368358,1.9611034e-05
0.036930077,1.9803174e-05
0.051372224,2.0000096e-05
0.034810228,1.9459329e-05
0.042333725,1.9655128e-05
0.034810228,1.9302068e-05
0.057896271,2.502321e-05
0.038761699,2.5242922e-05
0.028892368,2.5554835e-05
0.045069815,3.0959833e-05
0.065941635,3.0992527e-05
0.08166324,3.111208e-05
0.051434493,3.753652e-05
0.08166324,3.7197082e-05
0.064494327,4.4034496e-05
0.025079812,1.8703071e-05
0.025079812,1.8898612e-05
0.03771127,1.9098577e-05
0.03284051,1.9170022e-05
0.043108047,1.9357798e-05
0.0501909,1.9549327e-05
0.044704456,1.9628238e-05
0.058156008,1.9806675e-05
0.057000304,2.0075e-05
0.016223223,4.6907277e-05
0.014054324,4.5860303e-05
0.03150051,4.489836e-05
0.0126,5.4757526e-05
0.01466334,5.306709e-05
0.041602685,5.143842e-05
0.0126,6.155142e-05
0.0126,5.9199916e-05
0.0126,6.7002125e-05
0.014215888,1.9720195e-05
0.015303311,1.9114275e-05
0.015809659,1.8496867e-05
0.014490738,1.787282e-05
0.01551064,1.9358564e-05
0.01408465,1.8765939e-05
0.013186344,1.81635e-05
0.021710783,1.9020352e-05
0.015845973,1.8440265e-05
0.213634442,8.520454e-05
0.219142794,8.6605454e-05
0.21534068,8.789618e-05
0.224320726,8.902602e-05
0.262211924,8.5889675e-05
0.266310272,8.723005e-05
0.278961678,8.848456e-05
0.327014868,8.665023e-05
0.339853927,8.794935e-05
0.400031318,8.7524786e-05
0.0126,7.3932686e-05
0.0126,7.196134e-05
0.0126,6.960341e-05
0.021416687,7.908461e-05
0.012722982,7.698516e-05
0.0126,7.4367505e-05
0.056012189,8.2910774e-05
0.044243069,8.081037e-05
0.088345587,8.5756874e-05
0.102673848,8.6300795e-05
0.100354297,8.6762644e-05
0.109154728,8.657689e-05
0.127804004,8.7566405e-05
0.122105936,8.828711e-05
0.125151836,8.83779e-05
0.151862528,8.838093e-05
0.127482759,8.933439e-05
0.365424919,8.4635736e-05
0.377894549,8.558693e-05
0.39048456,8.655317e-05
0.420779153,8.565672e-05
0.435298244,8.654758e-05
0.454369369,8.74587e-05
0.477800567,8.700232e-05
0.505328979,8.7822955e-05
0.551530953,8.876172e-05
0.551530953,8.9938985e-05
0.598099775,9.1350084e-05
0.601745257,9.291878e-05
0.517637539,8.7995984e-05
0.550144902,8.911318e-05
0.574813137,9.0449124e-05
0.501442615,8.723767e-05
0.530457056,8.8295754e-05
0.486817094,8.6487074e-05
0.027518722,1.9196112e-05
0.023109361,1.830761e-05
0.015643948,1.7416236e-05
0.0126,1.6531198e-05
0.024897901,1.8711018e-05
0.018795564,1.7841321e-05
0.0126,1.6970786e-05
0.019359642,1.8271978e-05
0.015236067,1.7419516e-05
0.601745257,9.472998e-05
0.60878476,9.676157e-05
0.618926494,9.8963355e-05
0.573297754,9.135719e-05
0.579458284,9.3101764e-05
0.586171462,9.508074e-05
0.548673716,8.983133e-05
0.554921904,9.150198e-05
0.525680525,8.8342305e-05
0.026973281,1.8681547e-05
0.016537716,1.7480075e-05
0.014456308,1.6306018e-05
0.0126,1.5173158e-05
0.018953501,1.7866569e-05
0.012688214,1.6716052e-05
0.0126,1.55934e-05
0.013038734,1.7155491e-05
0.0126,1.6051206e-05
0.631637943,0.00010216457
0.640992813,0.00010530409
0.646106624,0.00010827076
0.58393571,9.695377e-05
0.592442769,0.000100060686
0.596508499,0.00010313654
0.547641077,9.494775e-05
0.551484009,9.793889e-05
0.514962081,9.2942e-05
0.0126,1.42138115e-05
0.014570887,1.5109429e-05
0.023228621,1.613931e-05
0.032634273,1.73258e-05
0.0126,1.4144541e-05
0.015877164,1.5138124e-05
0.023986551,1.6287837e-05
0.0126,1.4220607e-05
0.013521165,1.5338048e-05
0.0126,1.4475816e-05
0.022098283,1.7813605e-05
0.014565145,1.653222e-05
0.0126,1.532951e-05
0.02467006,1.679624e-05
0.013111734,1.5589327e-05
0.0126,1.4453489e-05
0.016125792,1.5924245e-05
0.0126,1.4784951e-05
0.5981987,0.00011789227
0.573953022,0.00011295274
0.539641652,0.000107316926
0.506189024,0.000101180856
0.608155659,0.00011511539
0.579862063,0.00010966746
0.544555919,0.00010365993
0.626435516,0.00011189645
0.586956011,0.00010601066
0.012605595,1.5474843e-05
0.012867401,1.6609638e-05
0.013439441,1.790002e-05
0.0126,1.4708142e-05
0.0126,1.5795902e-05
0.0126,1.7034085e-05
0.0126,1.5045036e-05
0.0126,1.6235423e-05
0.0126,1.5500023e-05
0.53033731,0.0001100189
0.56036779,0.00011292107
0.593418463,0.00011551477
0.600068955,0.00011585238
0.646635609,0.00011832557
0.658165197,0.00012055553
0.674765453,0.000120633485
0.699341693,0.00012271166
0.701354967,0.00012443229
