step,phase,c_lambda,e11_lambda,e22_lambda,e12_lambda,allen_cahn_lambda,force_balance_lambda,k_reg_lambda
0,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
1,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
2,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
3,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
4,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
5,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
6,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
7,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
8,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
9,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
10,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
11,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
12,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
13,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
14,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
15,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
16,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
17,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
18,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
19,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
20,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
21,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
22,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
23,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
24,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
25,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
26,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
27,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
28,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
29,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
30,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
31,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
32,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
33,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
34,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
35,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
36,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
37,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
38,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
39,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
40,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
41,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
42,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
43,adam,1.255956181799803,0.9999999983681163,1.1682255420089156,1.0519808128248078,188.75738006843903,190.0,5.772851080525146
