concentration,j_0(c)
0.085926031,0.0015478348
0.071048654,0.0014982409
0.060858766,0.0014487698
0.055140338,0.0013992541
0.05943605,0.0014808986
0.052146544,0.0014311412
0.047038858,0.0013814644
0.044866557,0.0014139586
0.040929906,0.0013641875
0.039813696,0.0013474699
0.142714353,0.0017454373
0.118839463,0.0016756429
0.100255479,0.0016061701
0.083069098,0.0015368668
0.142714353,0.0016818218
0.106392402,0.0016110566
0.083629974,0.0015407995
0.117339152,0.001615725
0.084005939,0.00154443
0.051186838,0.000921572
0.049878135,0.0009852203
0.045736979,0.0010574708
0.038518016,0.0011309541
0.049367395,0.0008984681
0.044572773,0.0009615092
0.039075126,0.0010367023
0.046147235,0.00087826065
0.040973559,0.0009392964
0.044213316,0.00086140103
0.045089931,0.0010818947
0.033941618,0.001164425
0.021777741,0.0012320791
0.020556879,0.0012764714
0.046044341,0.0010976124
0.03459588,0.0011792722
0.024614825,0.0012432815
0.042799027,0.0011140122
0.033254164,0.0011941387
0.062107197,0.0012971255
0.062107197,0.0012986438
0.043272648,0.0012921218
0.045175706,0.0013024791
0.037065682,0.0012935979
0.023338567,0.0012758031
0.02694625,0.0012954276
0.022251595,0.001275569
0.015840899,0.0012757718
0.022247985,0.001312908
0.02359895,0.0013087416
0.028266077,0.0012969655
0.034148001,0.0012787954
0.030246081,0.0013081934
0.044227797,0.0013005263
0.034148001,0.0012847078
0.053418958,0.0013029374
0.069103647,0.0012914933
0.047701209,0.0011195178
0.049828082,0.0011908326
0.039921901,0.0012667415
0.034526634,0.0011380889
0.035383612,0.0012130338
0.034815799,0.0012925736
0.023215958,0.0011582512
0.026503166,0.0012368758
0.023879945,0.0011800061
0.012801384,0.0009913273
0.013275033,0.0009508272
0.014555353,0.0009162979
0.016681132,0.00088762515
0.016082812,0.001035533
0.016213278,0.0009925268
0.014041773,0.00095544575
0.028328952,0.001078384
0.035658002,0.0010332171
0.035163167,0.0008217442
0.019543766,0.00083491585
0.040306216,0.0008316365
0.02563207,0.00082279654
0.016193622,0.00086221803
0.034608244,0.00082112214
0.018058422,0.0008415406
0.023823567,0.0008290886
0.136911263,0.00196125
0.104447522,0.0018716027
0.072432583,0.0017810191
0.053831215,0.0016893045
0.140638208,0.0018971863
0.110485474,0.0018029881
0.080381705,0.0017083471
0.142550786,0.0018249446
0.115376362,0.001726987
0.029355866,0.0013253599
0.021698106,0.0013130462
0.014900884,0.0012930253
0.012778473,0.0012675708
0.020453386,0.0013126204
0.017272177,0.001294641
0.013432775,0.0012697988
0.017855338,0.0012970696
0.015313452,0.0012736728
0.0126,0.0012804057
0.0126,0.0013077691
0.014247568,0.0013337956
0.016935096,0.0013582855
0.0126,0.0012806251
0.012846141,0.0013082242
0.014237945,0.0013345872
0.012606225,0.0012796551
0.012931759,0.0013074722
0.0126,0.0012772226
0.021976041,0.0018611691
0.047189885,0.0018943202
0.092767195,0.0019275117
0.04610269,0.0019691202
0.087130612,0.0020021547
0.132350382,0.0020361214
0.073881001,0.0020721196
0.130007824,0.002106549
0.101169923,0.0021715346
0.016072831,0.0013428378
0.0126,0.0013239776
0.0126,0.001298966
0.0126,0.0012696022
0.015728386,0.0013210562
0.0126,0.0012962293
0.0126,0.001266295
0.013502213,0.0012958699
0.0126,0.0012655368
0.0126,0.0012989305
0.0126,0.0013260471
0.012665894,0.0013506337
0.0126,0.0012737763
0.0126,0.0013033894
0.0126,0.0013309923
0.0126,0.0012775492
0.0126,0.0013074388
0.0126,0.0012796957
0.0126,0.0012778601
0.0126,0.0012770282
0.012606929,0.0013108834
0.012651052,0.0013088201
0.012685028,0.0013077178
