x,y,c_abs_error_t71
1.8311099,38.687588,0.1782813
2.074575,38.61109,0.1716224
2.3180404,38.53459,0.17424989
2.5615056,38.458096,0.18081534
1.993373,38.8901,0.1517714
2.2464602,38.80496,0.15711147
2.4995472,38.719814,0.16006729
2.17488,39.07532,0.168591
2.4375892,38.981537,0.15802264
2.3756309,39.24326,0.19906586
1.4549216,37.968254,0.25955707
1.7320184,37.959023,0.24178559
2.0091152,37.949795,0.22201663
2.286212,37.940563,0.21303952
1.5621117,38.218517,0.2737748
1.8483115,38.204044,0.21438605
2.1345112,38.18957,0.19599605
1.6875077,38.458294,0.2244134
1.9828106,38.43858,0.18619621
6.447986,38.965843,0.24502528
6.6878014,39.15118,0.2065624
6.9276166,39.336517,0.1622872
7.167432,39.521854,0.110009104
6.282333,39.28026,0.21436232
6.5301204,39.48429,0.16384539
6.777908,39.68832,0.11959791
6.116679,39.59467,0.18170601
6.372439,39.817398,0.13289103
5.951026,39.909084,0.15051818
7.1331334,38.76385,0.23012581
7.450928,38.849033,0.23369211
7.768723,38.934216,0.23074734
8.086518,39.019398,0.2126764
7.144566,39.01652,0.21210778
7.462616,39.10311,0.19514585
7.7806654,39.189705,0.1429851
7.1559987,39.269188,0.15598562
7.4743032,39.357193,0.10796827
8.828586,38.68565,0.17751214
8.578567,38.79061,0.17491549
8.33121,38.90186,0.20678392
8.630538,38.502308,0.19238588
8.381851,38.610413,0.20891616
8.135827,38.724808,0.23146892
8.432491,38.318966,0.21501619
8.185135,38.430214,0.2274558
8.234444,38.135624,0.22899622
8.861869,37.984898,0.21403843
9.05914,38.085526,0.20064238
9.256412,38.186153,0.1742965
9.453683,38.28678,0.1539171
8.850775,38.218483,0.19985086
9.053646,38.328793,0.17442113
9.256516,38.439106,0.15339789
8.83968,38.452065,0.17721647
9.048151,38.57206,0.15766603
3.2379718,39.719036,0.21757904
2.9353228,39.58808,0.21636924
2.6478758,39.42949,0.22384912
3.2805686,39.388187,0.18732527
2.9855206,39.243416,0.1681697
2.7056746,39.071003,0.14641011
3.3231654,39.057343,0.15590152
3.0357187,38.89875,0.14178124
3.3657625,38.726494,0.17915589
4.1614065,38.9873,0.20768657
4.279971,39.32223,0.22362494
4.3985353,39.657166,0.24643856
4.5171,39.992096,0.25762984
3.8535948,39.231213,0.19394472
3.9660122,39.58669,0.2306051
4.0784297,39.942165,0.2580306
3.5457833,39.475124,0.20695964
3.6520536,39.851143,0.23978406
5.477366,39.97626,0.18292919
4.999391,40.003933,0.25371835
5.7606454,39.515438,0.21469024
5.284828,39.562862,0.24058518
4.804695,39.570778,0.25374573
5.5702653,39.12179,0.25676027
5.09229,39.14946,0.26180416
5.379885,38.728146,0.2734461
1.1737292,36.94111,0.3465528
1.4947075,37.00582,0.29886574
1.8156857,37.070534,0.24541694
2.1366642,37.135246,0.22160178
1.2398866,37.29027,0.34749693
1.5746516,37.351593,0.27833265
1.9094166,37.412914,0.22750646
1.3336174,37.632652,0.32390636
