field,train_mean_abs_error,train_rms_error,train_max_abs_error,test_mean_abs_error,test_rms_error,test_max_abs_error,train_nrmse_pct,test_nrmse_pct,train_mean_pct_error,test_mean_pct_error
c,0.03078284113658147,0.04377933887706292,0.331501678,0.09681238312939298,0.10974218959971796,0.27264142299999994,4.377933887706292,10.974218959971797,37.88874330716721,13.359400641767797
e11,0.00082033465323822,0.001081988601848427,0.0065699191,0.0013116665914332268,0.0016259247011235754,0.005971593,2.5557983108272935,3.8406463779422917,,
e22,0.00021270765787403581,0.00027812059676445456,0.0034753696,0.000395342813564724,0.0004903597196579015,0.0017250507,2.478584881542082,4.370040197672348,,
e12,0.00047081677547048046,0.0006081804140251278,0.004191908999999999,0.0008778757750352077,0.0011337913431046706,0.004723366,2.5551909355658062,4.763476915592253,,
