x,y,e11_abs_error_t71,e22_abs_error_t71,e12_abs_error_t71
1.8311099,38.687588,0.0019712308,0.00022243848,0.0009912769
2.074575,38.61109,0.0028051557,0.0011456709,6.715243e-05
2.3180404,38.53459,0.0034895574,0.0005716585,0.0001929109
2.5615056,38.458096,0.0037778195,0.00049899856,0.00033572898
1.993373,38.8901,0.0036351648,0.00051603105,0.0010276199
2.2464602,38.80496,0.0043138396,0.00058858993,0.000178518
2.4995472,38.719814,0.003988373,0.00060593744,0.00028978812
2.17488,39.07532,0.0050949086,0.0005674872,0.00020240876
2.4375892,38.981537,0.0046969783,0.0007126357,0.00023859972
2.3756309,39.24326,0.0049869525,0.00031352008,8.096185e-05
1.4549216,37.968254,0.000697135,4.698406e-05,0.0013120001
1.7320184,37.959023,6.863475e-05,0.00060142996,0.000654434
2.0091152,37.949795,0.001902651,0.00038614485,2.6491703e-05
2.286212,37.940563,0.0025192958,0.00023112609,0.00035796466
1.5621117,38.218517,0.00053970795,0.00082891376,0.00056360825
1.8483115,38.204044,0.0011717277,0.001040008,0.0002761828
2.1345112,38.18957,0.0025995374,0.00032484473,3.0214258e-05
1.6875077,38.458294,0.0019477354,0.00029001816,0.0007823653
1.9828106,38.43858,0.0020242087,0.0011750351,9.661127e-05
6.447986,38.965843,0.005059315,0.0005017256,0.00027248822
6.6878014,39.15118,0.006332608,0.00058361713,0.00034688553
6.9276166,39.336517,0.008221056,0.0006781913,0.0018260719
7.167432,39.521854,0.009171829,0.0006330274,0.0016019393
6.282333,39.28026,0.0051086596,0.0010118342,0.0005584925
6.5301204,39.48429,0.007115017,0.0012705489,0.0021764704
6.777908,39.68832,0.007623366,0.0012543651,0.0022504602
6.116679,39.59467,0.0060592997,0.001221829,0.0018219671
6.372439,39.817398,0.007734434,0.001270798,0.0023628455
5.951026,39.909084,0.0055033546,0.0013835245,0.0017319813
7.1331334,38.76385,0.006824703,6.359503e-05,7.301965e-05
7.450928,38.849033,0.007400819,0.00022544002,0.00021496485
7.768723,38.934216,0.008532385,0.00038224334,0.0009655594
8.086518,39.019398,0.0086270245,0.00048400392,0.00078969495
7.144566,39.01652,0.007428728,8.317467e-05,0.00017939997
7.462616,39.10311,0.008981967,0.0001662341,0.0013530499
7.7806654,39.189705,0.008667093,0.00043764175,0.00083356723
7.1559987,39.269188,0.00890571,0.00036008595,0.0017208944
7.4743032,39.357193,0.00896883,6.173909e-05,0.0012547344
8.828586,38.68565,0.008480365,0.00025732332,0.0007041204
8.578567,38.79061,0.008637026,0.0003354417,0.00083393184
8.33121,38.90186,0.008522857,0.00057011156,0.0006644656
8.630538,38.502308,0.008521653,0.00019962358,0.0007466348
8.381851,38.610413,0.008280573,0.00018663591,0.0008151876
8.135827,38.724808,0.008038618,0.00024014813,0.0007575087
8.432491,38.318966,0.0069309045,0.00015111422,0.0003645122
8.185135,38.430214,0.0066428725,2.4301466e-05,0.00024883123
8.234444,38.135624,0.0061652483,8.812564e-05,0.0006587792
8.861869,37.984898,0.0072284965,0.00044695206,0.00058468385
9.05914,38.085526,0.008288263,0.00039364106,0.00013885787
9.256412,38.186153,0.009205564,0.0003874905,0.00021546474
9.453683,38.28678,0.009362141,0.00040327501,0.0001369291
8.850775,38.218483,0.0081434315,0.00041026055,0.000120294746
9.053646,38.328793,0.009200664,0.00040453632,0.0002211621
9.256516,38.439106,0.009371107,0.00046607998,6.1400235e-05
8.83968,38.452065,0.008604624,0.0002944848,0.00057570916
9.048151,38.57206,0.009522255,0.0004005361,0.00016098795
3.2379718,39.719036,0.0059768567,0.0004144375,0.00062625157
2.9353228,39.58808,0.006180946,0.00021528953,0.00032739213
2.6478758,39.42949,0.005322749,9.814103e-05,0.00039584457
3.2805686,39.388187,0.0057795,0.0001693177,9.568734e-05
2.9855206,39.243416,0.0056375046,0.0003849758,0.0001733849
2.7056746,39.071003,0.005115242,0.0005560599,0.0002998542
3.3231654,39.057343,0.005181759,0.0006544015,0.0005662014
3.0357187,38.89875,0.0051264167,0.0006412744,0.00062639127
3.3657625,38.726494,0.004329287,0.00073491444,0.0006599439
4.1614065,38.9873,0.0034630003,0.0011760539,0.00035588862
4.279971,39.32223,0.003642267,0.0008784412,0.0002253392
4.3985353,39.657166,0.003959002,0.00026279438,0.0004961885
4.5171,39.992096,0.0051615234,7.065444e-05,0.0005004605
3.8535948,39.231213,0.004539612,0.0006504241,5.08246e-05
3.9660122,39.58669,0.004804013,8.3336374e-05,0.00068058504
4.0784297,39.942165,0.005588398,0.00018141657,0.00074967183
3.5457833,39.475124,0.005436005,6.479991e-05,0.00042380788
3.6520536,39.851143,0.005604549,0.00031967484,0.0008390325
5.477366,39.97626,0.005648613,0.0011123547,0.0014789084
4.999391,40.003933,0.0057488503,0.00058949983,0.00076380395
5.7606454,39.515438,0.0045496924,0.0011681761,0.00068839523
5.284828,39.562862,0.0034269297,0.0012355623,0.00025016489
4.804695,39.570778,0.0032606972,0.0009129046,0.00021216599
5.5702653,39.12179,0.0028592888,0.00092533807,0.00035305228
5.09229,39.14946,0.0020456656,0.0013320725,0.00033386564
5.379885,38.728146,0.0022601148,0.00059434614,0.00044238265
1.1737292,36.94111,0.005122697,0.00018426118,0.0012626603
1.4947075,37.00582,0.004018405,0.0003495611,0.0007499262
1.8156857,37.070534,0.0016781576,0.00039370568,0.00024358273
2.1366642,37.135246,3.5645906e-05,0.00056574715,0.0010258959
1.2398866,37.29027,0.0038423426,0.00073244586,0.00050183677
1.5746516,37.351593,0.0025438233,0.0005255467,0.00030913728
1.9094166,37.412914,0.00014087325,0.0005700635,0.00069422845
1.3336174,37.632652,0.0023801588,0.0004578618,0.0010128182
1.6821691,37.690586,0.00095571345,0.00070298696,0.00041535785
9.326107,37.456306,0.0063847955,0.00013619097,0.00049471227
9.599195,37.529343,0.0074494574,0.00015298667,0.00024377694
9.872282,37.60238,0.00866001,7.857685e-06,0.00044720992
10.14537,37.67542,0.010154495,0.00013828906,0.00031183567
9.368632,37.73313,0.007578529,0.0003093927,0.00047091884
