concentration,j_0(c)
0.019345895,2.1764397e-09
0.023368358,2.146374e-09
0.013220305,2.2138629e-09
0.0126,2.1829372e-09
0.0126,2.1516129e-09
0.0126,2.191597e-09
0.0126,2.159042e-09
0.065495419,2.367741e-09
0.062214144,2.3728397e-09
0.053789897,2.3769269e-09
0.050889412,2.40659e-09
0.07632054,2.4146012e-09
0.082898669,2.4213829e-09
0.033706555,2.4392797e-09
0.068498922,2.450436e-09
0.016421397,2.4612743e-09
0.027005407,2.1797029e-09
0.040662479,2.2120248e-09
0.053603352,2.2432356e-09
0.023368358,2.1412885e-09
0.036930077,2.1738122e-09
0.051372224,2.2052973e-09
0.034810228,2.1350468e-09
0.042333725,2.166738e-09
0.034810228,2.1276587e-09
0.057896271,2.3994455e-09
0.038761699,2.4238038e-09
0.028892368,2.444025e-09
0.045069815,2.3924966e-09
0.065941635,2.4220388e-09
0.08166324,2.4473554e-09
0.051434493,2.3706102e-09
0.08166324,2.4063278e-09
0.064494327,2.3481257e-09
0.025079812,2.0972637e-09
0.025079812,2.1079485e-09
0.03771127,2.1180648e-09
0.03284051,2.1448308e-09
0.043108047,2.1559756e-09
0.0501909,2.1664743e-09
0.044704456,2.1917737e-09
0.058156008,2.203307e-09
0.057000304,2.2379443e-09
0.016223223,2.2011428e-09
0.014054324,2.255442e-09
0.03150051,2.3042117e-09
0.0126,2.2053048e-09
0.01466334,2.257038e-09
0.041602685,2.3057474e-09
0.0126,2.288504e-09
0.0126,2.3323383e-09
0.0126,2.4668823e-09
0.014215888,2.2076552e-09
0.015303311,2.1519522e-09
0.015809659,2.0954627e-09
0.014490738,2.0384106e-09
0.01551064,2.1745605e-09
0.01408465,2.1182598e-09
0.013186344,2.0612836e-09
0.021710783,2.1376956e-09
0.015845973,2.0810245e-09
0.213634442,3.6142795e-09
0.219142794,3.6835899e-09
0.21534068,3.752476e-09
0.224320726,3.8208827e-09
0.262211924,3.7943546e-09
0.266310272,3.8658268e-09
0.278961678,3.9370227e-09
0.327014868,3.993797e-09
0.339853927,4.0658406e-09
0.400031318,4.2140162e-09
0.0126,2.3766218e-09
0.0126,2.4058768e-09
0.0126,2.435866e-09
0.021416687,2.6520688e-09
0.012722982,2.6770026e-09
0.0126,2.7015712e-09
0.056012189,2.961985e-09
0.044243069,2.9913982e-09
0.088345587,3.2778573e-09
0.102673848,3.1225555e-09
0.100354297,3.177037e-09
0.109154728,3.2286793e-09
0.127804004,3.3622163e-09
0.122105936,3.4272485e-09
0.125151836,3.4898378e-09
0.151862528,3.591061e-09
0.127482759,3.6660437e-09
0.365424919,4.0467607e-09
0.377894549,4.102565e-09
0.39048456,4.158308e-09
0.420779153,4.2274717e-09
0.435298244,4.282248e-09
0.454369369,4.3370747e-09
0.477800567,4.413601e-09
0.505328979,4.4671116e-09
0.551530953,4.5994875e-09
0.551530953,4.7033244e-09
0.598099775,4.796295e-09
0.601745257,4.878822e-09
0.517637539,4.5396096e-09
0.550144902,4.6406474e-09
0.574813137,4.7313207e-09
0.501442615,4.4795887e-09
0.530457056,4.577765e-09
0.486817094,4.4193165e-09
0.027518722,2.1322508e-09
0.023109361,2.0627846e-09
0.015643948,1.9927624e-09
0.0126,1.9224622e-09
0.024897901,2.10569e-09
0.018795564,2.0335715e-09
0.0126,1.9609916e-09
0.019359642,2.0744912e-09
0.015236067,1.999999e-09
0.601745257,4.958021e-09
0.60878476,5.0369113e-09
0.618926494,5.1156928e-09
0.573297754,4.7781437e-09
0.579458284,4.860999e-09
0.586171462,4.9433604e-09
0.548673716,4.67552e-09
0.554921904,4.762074e-09
0.525680525,4.5705524e-09
0.026973281,2.029912e-09
0.016537716,1.9547632e-09
0.014456308,1.8789794e-09
0.0126,1.8027134e-09
0.018953501,1.9986701e-09
0.012688214,1.9194828e-09
0.0126,1.8400925e-09
0.013038734,1.9629327e-09
0.0126,1.8801252e-09
0.631637943,5.2242863e-09
0.640992813,5.3261804e-09
0.646106624,5.4214753e-09
0.58393571,5.00644e-09
0.592442769,5.116576e-09
0.596508499,5.2192273e-09
0.547641077,4.894925e-09
0.551484009,5.0067266e-09
0.514962081,4.7800746e-09
0.0126,1.6854406e-09
0.014570887,1.7140253e-09
0.023228621,1.7361563e-09
0.032634273,1.7507931e-09
0.0126,1.6491096e-09
0.015877164,1.6738159e-09
0.023986551,1.6915381e-09
0.0126,1.6095577e-09
0.013521165,1.6300081e-09
0.0126,1.5664063e-09
0.022098283,1.8998887e-09
0.014565145,1.8303331e-09
0.0126,1.7588004e-09
0.02467006,1.873428e-09
0.013111734,1.801131e-09
0.0126,1.7274966e-09
0.016125792,1.8404092e-09
0.0126,1.7658465e-09
0.5981987,5.760144e-09
0.573953022,5.5406626e-09
0.539641652,5.310531e-09
0.506189024,5.067421e-09
0.608155659,5.653815e-09
0.579862063,5.4271467e-09
0.544555919,5.1892544e-09
0.626435516,5.5407385e-09
0.586956011,5.3066618e-09
0.012605595,1.5792178e-09
0.012867401,1.5884593e-09
0.013439441,1.5952225e-09
0.0126,1.5287726e-09
0.0126,1.5398895e-09
0.0126,1.5486319e-09
0.0126,1.4894912e-09
0.0126,1.4999237e-09
0.0126,1.4493672e-09
0.53033731,5.3596483e-09
0.56036779,5.4998495e-09
0.593418463,5.6329306e-09
0.600068955,5.611427e-09
0.646635609,5.746224e-09
0.658165197,5.8727756e-09
0.674765453,5.8482046e-09
0.699341693,5.973155e-09
0.701354967,6.058762e-09
0.589790909,5.7092415e-09
0.637252864,5.836704e-09
0.689042155,5.9534813e-09
0.642586001,5.902309e-09
0.6929744,6.0186407e-09
0.702256706,6.120363e-09
0.705427038,6.0707555e-09
0.71384332,6.1687766e-09
0.735291036,6.20448e-09
0.759078676,6.2234373e-09
0.758951088,6.2365584e-09
0.765809379,6.244345e-09
0.729631082,6.117895e-09
0.74781052,6.1393046e-09
0.747965019,6.15373e-09
0.695606176,6.014436e-09
0.717124646,6.0366854e-09
0.656676354,5.8955147e-09
0.0126,1.3561469e-09
0.0126,1.3819684e-09
0.0126,1.4136768e-09
0.0126,1.4029964e-09
0.0126,1.4295515e-09
0.0126,1.4621426e-09
0.0126,1.448445e-09
0.0126,1.4757047e-09
0.0126,1.4922639e-09
0.785566078,6.2456746e-09
0.76369965,6.1762333e-09
0.734368135,6.0912786e-09
0.698795287,5.991051e-09
0.779968781,6.2471774e-09
0.759166356,6.1771925e-09
0.730440871,6.0908354e-09
0.765809379,6.2467542e-09
0.754174157,6.175414e-09
0.013279502,1.458952e-09
0.012877477,1.4142918e-09
0.012770421,1.36731e-09
0.01271372,1.3182285e-09
0.0126,1.4152417e-09
0.0126,1.369359e-09
0.0126,1.3217645e-09
0.0126,1.3816793e-09
0.0126,1.3347448e-09
0.78787136,6.2483303e-09
0.793626405,6.2510424e-09
0.800760492,6.254226e-09
0.77013526,6.185515e-09
0.775046214,6.1877192e-09
0.781107376,6.1897523e-09
0.753989465,6.112209e-09
0.759753859,6.11341e-09
0.737980219,6.025774e-09
0.012658296,1.3619925e-09
0.01280114,1.3362154e-09
0.012813244,1.3216891e-09
0.01319202,1.4181951e-09
0.013305428,1.391211e-09
0.013080275,1.3757125e-09
0.013788709,1.4710628e-09
0.013782016,1.4432656e-09
0.017741346,1.5201977e-09
0.730297738,6.023825e-09
0.76736345,6.115166e-09
0.786506964,6.1920353e-09
0.754005858,6.099527e-09
0.789662913,6.1856738e-09
0.806854601,6.254404e-09
0.777013484,6.1714576e-09
0.806854601,6.249322e-09
0.799373614,6.23863e-09
0.012927764,1.6026939e-09
0.012702081,1.5749508e-09
0.012610571,1.5440649e-09
0.0126,1.5100103e-09
0.01295793,1.5179692e-09
0.012712335,1.4847119e-09
0.0126,1.4484374e-09
0.012895394,1.4372915e-09
0.012613164,1.3992214e-09
0.774762334,6.210584e-09
0.748750764,6.1712737e-09
0.726707193,6.1167467e-09
0.730725988,6.0889107e-09
0.689857372,6.030023e-09
0.66606508,5.951222e-09
0.663048932,5.8932828e-09
0.622500656,5.7988103e-09
0.597496191,5.666679e-09
0.0126,1.8560012e-09
0.0126,1.8418806e-09
0.0126,1.8225188e-09
0.0126,1.7974412e-09
0.0126,1.7407822e-09
0.0126,1.7185401e-09
0.0126,1.6908623e-09
0.0126,1.6244983e-09
0.0126,1.595279e-09
0.43112977,5.0281233e-09
0.570341738,5.4194302e-09
0.652829055,5.8074168e-09
0.530078469,5.1898192e-09
0.650842896,5.6484843e-09
0.706198987,6.0337317e-09
0.60762983,5.454516e-09
0.678761108,5.9262457e-09
0.621427471,5.7889102e-09
0.013559952,2.3183928e-09
0.012691491,2.3355302e-09
0.0126,2.3364923e-09
0.0126,2.3127191e-09
0.012678082,2.1517992e-09
0.0126,2.1519364e-09
0.0126,2.1372069e-09
0.0126,1.9770232e-09
0.0126,1.9595239e-09
0.241516848,4.164255e-09
0.385128474,4.559617e-09
0.522354049,5.1659064e-09
0.325338752,4.2660573e-09
0.448030797,4.849566e-09
0.549654974,5.575263e-09
0.40539321,4.5296478e-09
0.429599423,5.302207e-09
0.357995447,4.9618687e-09
0.0126,2.9200067e-09
0.0126,2.8811462e-09
0.0126,2.789052e-09
0.0126,2.6424258e-09
0.0126,2.7445919e-09
0.0126,2.6987241e-09
0.0126,2.5954183e-09
0.0126,2.5427476e-09
0.0126,2.4846263e-09
0.081918792,3.344456e-09
0.154661635,3.7747436e-09
0.396183485,4.2627515e-09
0.03802092,3.3753056e-09
0.364243425,3.8940553e-09
0.190666659,4.5514654e-09
0.325182202,3.4488925e-09
0.030020901,4.0807024e-09
0.074978981,3.5763574e-09
0.0126,3.1037426e-09
0.0126,2.9382643e-09
0.0126,2.7296039e-09
0.0126,2.4808355e-09
0.0126,2.9780818e-09
0.0126,2.80089e-09
0.0126,2.576569e-09
0.0126,2.8262128e-09
0.0126,2.633286e-09
0.049381529,2.4714797e-09
0.08012194,2.7421045e-09
0.334578362,3.111107e-09
0.110560338,2.4297013e-09
0.284429592,2.7427964e-09
0.110456027,3.1623024e-09
0.237630814,2.4175137e-09
0.113515248,2.7769418e-09
0.090191121,2.4358815e-09
0.013396238,2.8305422e-09
0.014442516,2.5878748e-09
0.014250188,2.320547e-09
0.0126,2.0378077e-09
0.0126,2.7396443e-09
0.0126,2.4843612e-09
0.0126,2.2042617e-09
0.0126,2.6241238e-09
0.0126,2.3544504e-09
0.076244429,1.864691e-09
0.086849448,2.0101296e-09
0.221802634,2.1958217e-09
0.109634837,1.834765e-09
0.178327364,1.999777e-09
0.119582515,2.2106883e-09
0.143008997,1.8193168e-09
0.146704815,2.0060331e-09
0.160673534,1.8180848e-09
0.033673157,2.2860716e-09
0.015959364,2.0230995e-09
0.0126,1.7605449e-09
0.0126,1.5102022e-09
0.027300577,2.2248998e-09
0.015115997,1.9538038e-09
0.0126,1.6862602e-09
