step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,interp_c_loss,interp_e11_loss,interp_e22_loss,interp_e12_loss,total_loss,test_total_loss,test_c_loss,test_e11_loss,test_e22_loss,test_e12_loss,test_allen_cahn_loss,test_force_balance_loss,test_k_reg_loss,test_interp_c_loss,test_interp_e11_loss,test_interp_e22_loss,test_interp_e12_loss
20,adam,0.058643344549402114,0.4714697858979625,1.3234832594471593,9.218291744109123,1.5672779762744247e-06,0.00040401362592444546,5.8272570826037764e-08,0.0,0.0,0.0,0.0,11.865746682690036,6.777515411376953,0.1366679072380066,0.2721419632434845,0.546245276927948,5.352005481719971,2.078382522086031e-06,0.00034223668626509607,5.7554849774987815e-08,0.0,0.0,0.0,0.0
21,adam,0.056577250481613224,0.4689244752930057,1.3197208066140451,9.164081281231296,1.4618816155029157e-06,0.000410342990841356,5.603379460786352e-08,0.0,0.0,0.0,0.0,11.800367324582991,6.757593154907227,0.145150825381279,0.27166280150413513,0.5447343587875366,5.323632717132568,1.980341039597988e-06,0.0003502940235193819,6.365977611721974e-08,0.0,0.0,0.0,0.0
22,adam,0.054829357492346915,0.4708302770891497,1.317416383374122,9.124122281228342,1.3670789389981373e-06,0.0004132798029815838,5.455639679087565e-08,0.0,0.0,0.0,0.0,11.755891369235131,6.74855375289917,0.15404532849788666,0.27226701378822327,0.5455434322357178,5.302647590637207,1.8773293959384318e-06,0.00035205273889005184,5.1961016822588135e-08,0.0,0.0,0.0,0.0
23,adam,0.0529326627091054,0.4684557549415096,1.3132949029245684,9.082880989197761,1.2931930636876778e-06,0.0004168029484008589,5.2165586087341815e-08,0.0,0.0,0.0,0.0,11.703591838959724,6.751062393188477,0.16173197329044342,0.2724913954734802,0.543587327003479,5.297767162322998,1.8003909190156264e-06,0.0003523841733112931,5.139790815178458e-08,0.0,0.0,0.0,0.0
24,adam,0.050994862111345414,0.46787964817016353,1.3057703702680525,9.0283893000695,1.1605107616677772e-06,0.0004202495160092029,5.066221644351425e-08,0.0,0.0,0.0,0.0,11.635099503301806,6.780607223510742,0.16777996718883514,0.27361011505126953,0.5409631133079529,5.321559906005859,1.6788925449873204e-06,0.00034652737667784095,4.85731455057703e-08,0.0,0.0,0.0,0.0
25,adam,0.049127273622059056,0.46855673290068106,1.3023715249953731,8.969586387757332,1.1195770162709278e-06,0.0004122179271953721,4.88223344476527e-08,0.0,0.0,0.0,0.0,11.566068003254552,6.800542831420898,0.17671872675418854,0.2730953097343445,0.5417413711547852,5.328334808349609,1.6498933064212906e-06,0.000352800649125129,4.882877746581471e-08,0.0,0.0,0.0,0.0
26,adam,0.047788465335484476,0.46782749602871554,1.2951618548362487,8.952179847225066,1.0273928263549967e-06,0.0004256318141180541,4.703369839834552e-08,0.0,0.0,0.0,0.0,11.539455998328425,6.814227104187012,0.18701596558094025,0.2749015986919403,0.5385804772377014,5.3325982093811035,1.5165674085437786e-06,0.0003431998484302312,4.567461076021573e-08,0.0,0.0,0.0,0.0
27,adam,0.04641479902690457,0.46683779647273405,1.2844200941824144,8.866876325299662,9.499129011982727e-07,0.0004236186204868699,4.508412476319966e-08,0.0,0.0,0.0,0.0,11.434058866193217,6.765790939331055,0.2038988620042801,0.273916631937027,0.537316083908081,5.265860080718994,1.4255391533879447e-06,0.00035922409733757377,4.426566846404967e-08,0.0,0.0,0.0,0.0
28,adam,0.04518516529952326,0.4673093211266302,1.2786075107512935,8.798892221143168,8.969912418280963e-07,0.0004237972748195452,4.40447268048164e-08,0.0,0.0,0.0,0.0,11.3547027649418,6.788211822509766,0.21357940137386322,0.27361467480659485,0.5342668890953064,5.278907299041748,1.3603513480120455e-06,0.00036139567964710295,4.221900695711156e-08,0.0,0.0,0.0,0.0
29,adam,0.044584804364750465,0.46923547502486934,1.2720899351181523,8.745895047341623,8.284612194544141e-07,0.0004243262087730991,4.249062544108857e-08,0.0,0.0,0.0,0.0,11.292597432290354,6.866390705108643,0.21996042132377625,0.2755185663700104,0.5361308455467224,5.343532562255859,1.3030269201408373e-06,0.000351437134668231,4.077453041873014e-08,0.0,0.0,0.0,0.0
30,adam,0.044727550759430856,0.4666430854028271,1.2578711855796076,8.627918935591175,7.66345412132303e-07,0.00045056123335305003,4.111915602276983e-08,0.0,0.0,0.0,0.0,11.15443915705527,6.7837700843811035,0.23663291335105896,0.2769259512424469,0.5312868356704712,5.247361183166504,1.1989977792836726e-06,0.0003613299340941012,4.017708832293465e-08,0.0,0.0,0.0,0.0
31,adam,0.04478872759688285,0.4688619654024801,1.2442699901519283,8.493479913280856,7.039853321364189e-07,0.0004481730312334314,4.126700426537912e-08,0.0,0.0,0.0,0.0,10.998953911565966,6.779562473297119,0.24596406519412994,0.27619874477386475,0.5310096740722656,5.230739593505859,1.1429136748120072e-06,0.00037511548725888133,4.233661599073457e-08,0.0,0.0,0.0,0.0
