concentration,mu_h(c)
0.043108047,-0.062473297
0.0501909,-0.061267376
0.044704456,-0.048658133
0.058156008,-0.04812455
0.057000304,-0.035026073
0.016223223,0.08281875
0.014054324,0.127944
0.03150051,0.17829251
0.0126,0.17085886
0.01466334,0.22204113
0.041602685,0.277148
0.0126,0.27756286
0.0126,0.330868
0.0126,0.39324164
0.014215888,-0.02722931
0.015303311,-0.048567295
0.015809659,-0.07301211
0.014490738,-0.100378275
0.01551064,-0.045728207
0.01408465,-0.06766057
0.013186344,-0.09247136
0.021710783,-0.063801765
0.015845973,-0.08619237
0.213634442,0.6003629
0.219142794,0.59489024
0.21534068,0.5866587
0.224320726,0.5760901
0.262211924,0.5650263
0.266310272,0.55129385
0.278961678,0.5359342
0.327014868,0.48910517
0.339853927,0.47143596
0.400031318,0.3774339
0.0126,0.2577803
0.0126,0.30240536
0.0126,0.34768558
0.021416687,0.38029385
0.012722982,0.4211986
0.0126,0.4600985
0.056012189,0.49410486
0.044243069,0.5241829
0.088345587,0.57461405
0.102673848,0.5047109
0.100354297,0.5332
0.109154728,0.5564344
0.127804004,0.57679164
0.122105936,0.5905826
0.125151836,0.5990162
0.151862528,0.6030992
0.127482759,0.6009064
0.365424919,0.41934294
0.377894549,0.40551448
0.39048456,0.39147598
0.420779153,0.31545478
0.435298244,0.3015694
0.454369369,0.28823876
0.477800567,0.20028794
0.505328979,0.1873149
0.551530953,0.08201018
0.551530953,0.00050649565
0.598099775,-0.070873566
0.601745257,-0.1311008
0.517637539,0.106224164
0.550144902,0.027473014
0.574813137,-0.04135722
0.501442615,0.1315574
0.530457056,0.055917047
0.486817094,0.15778351
0.027518722,-0.022711039
0.023109361,-0.061005592
0.015643948,-0.104918
0.0126,-0.15353823
0.024897901,-0.050189972
0.018795564,-0.08941746
0.0126,-0.13372707
0.019359642,-0.07603431
0.015236067,-0.11599016
0.601745257,-0.18443158
0.60878476,-0.23081166
0.618926494,-0.2708296
0.573297754,-0.07935801
0.579458284,-0.13440487
0.586171462,-0.18264657
0.548673716,-0.02415751
0.554921904,-0.0806155
0.525680525,0.03362949
0.026973281,-0.021423101
0.016537716,-0.08632469
0.014456308,-0.15772057
0.0126,-0.232059
0.018953501,-0.06904721
0.012688214,-0.13420773
0.0126,-0.2046597
0.013038734,-0.11311293
0.0126,-0.17789984
0.631637943,-0.31725973
0.640992813,-0.35273832
0.646106624,-0.3796988
0.58393571,-0.21397579
0.592442769,-0.26157308
0.596508499,-0.29812926
0.547641077,-0.15080923
0.551484009,-0.19898206
0.514962081,-0.082749054
0.0126,-0.30397248
0.014570887,-0.25323725
0.023228621,-0.20109057
0.032634273,-0.1481762
0.0126,-0.31503367
0.015877164,-0.26371717
0.023986551,-0.21184611
0.0126,-0.32183433
0.013521165,-0.27064586
0.0126,-0.32564998
0.022098283,-0.07283902
0.014565145,-0.15318727
0.0126,-0.23105717
0.02467006,-0.12971234
0.013111734,-0.20812678
0.0126,-0.28378177
0.016125792,-0.18304372
0.0126,-0.2592435
0.5981987,-0.44277853
0.573953022,-0.36833453
0.539641652,-0.27677318
0.506189024,-0.16895369
0.608155659,-0.42668837
0.579862063,-0.3468215
0.544555919,-0.24771655
0.626435516,-0.40642047
0.586956011,-0.3187409
0.012605595,-0.2859006
0.012867401,-0.24706626
0.013439441,-0.2095356
0.0126,-0.33232832
0.0126,-0.29406643
0.0126,-0.25721788
0.0126,-0.34029937
0.0126,-0.30380797
0.0126,-0.3506403
0.53033731,-0.21873769
0.56036779,-0.30430764
0.593418463,-0.3799668
0.600068955,-0.32240802
0.646635609,-0.3971005
0.658165197,-0.4583888
0.674765453,-0.41293883
0.699341693,-0.4727102
0.701354967,-0.48674423
0.589790909,-0.30775625
0.637252864,-0.3778507
0.689042155,-0.4379199
0.642586001,-0.3913105
0.6929744,-0.45128858
0.702256706,-0.49907792
0.705427038,-0.46445107
0.71384332,-0.5112723
0.735291036,-0.52303797
0.759078676,-0.5313417
0.758951088,-0.5391691
0.765809379,-0.54645145
0.729631082,-0.48191875
0.74781052,-0.49087894
0.747965019,-0.49935657
0.695606176,-0.42935914
0.717124646,-0.43801963
0.656676354,-0.36595058
0.0126,-0.3808775
0.0126,-0.36902
0.0126,-0.35920525
0.0126,-0.33496785
0.0126,-0.32444048
0.0126,-0.31532788
0.0126,-0.29234385
0.0126,-0.2821536
0.0126,-0.25155973
0.785566078,-0.56119347
0.76369965,-0.52549946
0.734368135,-0.4770221
0.698795287,-0.41762835
0.779968781,-0.5563451
0.759166356,-0.519861
0.730440871,-0.47146344
0.765809379,-0.5514201
0.754174157,-0.5142629
0.013279502,-0.30176592
0.012877477,-0.34929323
0.012770421,-0.40309858
0.01271372,-0.4658687
0.0126,-0.32414985
0.0126,-0.3726306
0.0126,-0.42791796
0.0126,-0.35075116
0.0126,-0.39982748
0.78787136,-0.5681237
0.793626405,-0.5750648
0.800760492,-0.5817404
0.77013526,-0.5376046
0.775046214,-0.5466707
0.781107376,-0.5560961
0.753989465,-0.5053094
0.759753859,-0.5163648
0.737980219,-0.46294123
0.012658296,-0.6101742
0.01280114,-0.558465
0.012813244,-0.5098915
0.01319202,-0.5228014
0.013305428,-0.478544
0.013080275,-0.4372003
0.013788709,-0.45160985
0.013782016,-0.412673
0.017741346,-0.39277077
0.730297738,-0.5012481
0.76736345,-0.5389403
0.786506964,-0.5648767
0.754005858,-0.54826987
0.789662913,-0.5733297
0.806854601,-0.58821
0.777013484,-0.5793216
0.806854601,-0.59257627
0.799373614,-0.59536266
0.012927764,-0.50140476
0.012702081,-0.5611961
0.012610571,-0.6333339
0.0126,-0.7205856
0.01295793,-0.53338146
0.012712335,-0.60448766
0.0126,-0.68988943
0.012895394,-0.5697043
0.012613164,-0.65253544
0.774762334,-0.59644496
0.748750764,-0.59574556
0.726707193,-0.590678
0.730725988,-0.566895
0.689857372,-0.56730425
0.66606508,-0.5635084
0.663048932,-0.48965883
0.622500656,-0.4773438
0.597496191,-0.34164238
0.0126,-0.5166936
0.0126,-0.5939989
0.0126,-0.70342827
0.0126,-0.8492489
0.0126,-0.57528234
0.0126,-0.6725924
0.0126,-0.8025341
0.0126,-0.6431811
0.0126,-0.7603512
0.43112977,-0.0056867925
0.570341738,-0.36485434
0.652829055,-0.5409429
0.530078469,-0.25392294
0.650842896,-0.48490077
0.706198987,-0.5648143
0.60762983,-0.34974122
0.678761108,-0.47867382
0.621427471,-0.31742382
0.013559952,-0.47254658
0.012691491,-0.6215055
0.0126,-0.83134556
0.0126,-1.0693564
0.012678082,-0.5887728
0.0126,-0.7679963
0.0126,-0.99655366
0.0126,-0.71418524
0.0126,-0.92036724
0.241516848,0.5456388
0.385128474,0.22304839
0.522354049,-0.123131335
0.325338752,0.44033116
0.448030797,0.110899895
0.549654974,-0.12005754
0.40539321,0.3497076
0.429599423,0.05282305
0.357995447,0.3236043
0.0126,-0.4160483
0.0126,-0.69509053
0.0126,-0.9738972
0.0126,-1.2052889
0.0126,-0.63580656
0.0126,-0.9227135
0.0126,-1.1857281
0.0126,-0.85411763
0.0126,-1.139741
0.081918792,0.4572854
0.154661635,0.5893581
0.396183485,0.5683737
0.03802092,0.4270575
0.364243425,0.5388551
0.190666659,0.6008513
0.325182202,0.35166192
0.030020901,0.4045825
0.074978981,0.24921918
0.0126,-0.48835993
0.0126,-0.7719145
0.0126,-0.9821019
0.0126,-1.1337147
0.0126,-0.75307536
0.0126,-0.99592566
0.0126,-1.1749432
0.0126,-0.98912024
0.0126,-1.2004232
0.049381529,0.24691343
0.08012194,0.26828194
0.334578362,0.27731013
0.110560338,0.24969816
0.284429592,0.2621827
0.110456027,0.24331808
0.237630814,0.2565229
0.113515248,0.26145697
0.090191121,0.2724173
0.013396238,-0.5247865
0.014442516,-0.723825
0.014250188,-0.8622863
0.0126,-0.96121144
0.0126,-0.74978805
0.0126,-0.90947175
0.0126,-1.0231283
0.0126,-0.949975
0.0126,-1.0817981
0.076244429,0.15824413
0.086849448,0.20874
0.221802634,0.24787188
0.109634837,0.17211747
0.178327364,0.2267878
0.119582515,0.2689078
0.143008997,0.1948092
0.146704815,0.2535975
0.160673534,0.22673464
0.033673157,-0.5036242
0.015959364,-0.62891006
0.0126,-0.7184713
0.0126,-0.78343725
0.027300577,-0.66226625
0.015115997,-0.7654052
0.0126,-0.8396964
0.017512987,-0.81483865
0.012623947,-0.89951134
0.115936287,0.051039457
0.137835475,0.111637354
0.154376843,0.17114902
0.124936398,0.07302785
0.151352908,0.13752294
0.160673534,0.19999385
0.134067817,0.100929976
0.164787591,0.16877913
0.150589426,0.13413692
0.012605893,-0.49765992
0.0126,-0.56693125
0.0126,-0.6189616
0.0126,-0.65798736
0.0126,-0.59073806
0.0126,-0.65078354
0.0126,-0.695729
0.0126,-0.6862457
0.0126,-0.73756576
0.081829829,-0.020347118
0.101453754,0.029985428
0.126393472,0.08185077
0.093687559,0.0045108795
0.116740047,0.05597377
0.141127244,0.108418465
0.111687168,0.032676697
0.133698105,0.08479047
0.124010282,0.063741684
0.0126,-0.60081124
0.0126,-0.54423404
0.0126,-0.4878583
0.0126,-0.6304791
0.013365319,-0.57759356
0.0126,-0.52494764
0.022060133,-0.6031232
0.015412704,-0.5536556
0.025427125,-0.57552505
0.077310771,-0.06250739
0.092412132,-0.022061586
0.110952393,0.020165682
0.089981458,-0.0457716
0.107477105,-0.0014772415
0.124010282,0.04460001
0.103778265,-0.027169466
0.124010282,0.021013737
0.105357702,-0.0069019794
0.0126,-0.4987588
0.015432178,-0.52734995
0.021753927,-0.55261874
0.012858156,-0.49128318
0.013790533,-0.5175526
0.016769419,-0.54049325
0.0126,-0.48081875
0.013145742,-0.50448203
0.0126,-0.46698427
0.105357702,-0.043557167
0.0858592,-0.08351278
0.066027007,-0.12600875
0.095374738,-0.061726093
0.08566709,-0.09906578
0.074870497,-0.13883328
0.074405003,-0.11251402
0.065256089,-0.1498177
0.055613089,-0.1587472
0.0126,-0.42225146
0.012651225,-0.41862702
0.013096397,-0.4128554
0.013647402,-0.40496707
0.0126,-0.44943857
0.012617449,-0.44610262
0.012968115,-0.4406917
0.0126,-0.474859
0.012635671,-0.47162175
0.035710466,-0.24924469
0.050270927,-0.21260858
0.064707315,-0.17150903
0.036263982,-0.25931454
0.050732936,-0.22085142
0.066027007,-0.17762923
0.035245312,-0.2682724
0.03604899,-0.2279706
0.03604899,-0.2762146
0.019174798,-0.34572268
0.021017033,-0.32643127
0.02696591,-0.3032925
0.015438424,-0.36718416
0.016770667,-0.34767246
0.015735362,-0.3243351
0.013523924,-0.38688302
0.015735362,-0.3670857
0.064230064,0.1352613
0.072240913,0.17403674
0.074581485,0.16584563
0.050205839,-0.15046835
0.050648305,-0.14576268
0.051660495,-0.16139221
0.023496751,-0.14274096
0.020899249,-0.14672565
0.017435374,-0.1571188
0.029373364,-0.14210844
0.026864823,-0.14321208
0.036368617,-0.14231014
0.013725144,-0.1559217
0.014766422,-0.15673637
0.017712895,-0.14677024
0.020515391,-0.20384121
0.031585976,-0.20959401
0.017923536,-0.18558836
0.052366592,0.08096504
0.060152885,0.11459422
0.068307115,0.14630413
0.047531661,0.05922723
0.054177898,0.09355974
0.041882923,0.037416697
0.041213895,0.03908944
0.030666216,-0.0247221
0.036069428,0.028148651
0.036313336,-0.005024433
0.030248084,-0.046256304
0.039613692,0.016947746
0.019286682,-0.1366446
0.014346644,-0.17927551
0.020590925,-0.15038586
0.046547049,-0.20348024
0.04736803,-0.20892406
0.03651125,-0.22916603
0.0126,-0.2386787
0.014266635,-0.24983525
0.013872484,-0.24870396
0.036749387,0.14222026
0.039907843,0.10936046
0.040937859,0.07412386
0.050847018,0.15979815
0.05294198,0.12799
0.066118651,0.1769669
0.02825183,0.109172106
0.026590255,0.074406624
0.026492239,0.038514853
0.032755992,0.07423115
0.02943772,0.038021326
0.03438144,0.037653446
0.073112578,0.21767831
0.089509971,0.25337124
0.062658042,0.23771381
0.042622586,0.18642545
0.057136167,0.20229912
0.047563359,0.22366118
0.02128149,-0.14302039
0.023568959,-0.14320445
0.02549737,-0.14326262
0.018361162,-0.14570975
0.021589909,-0.14457726
0.01529985,-0.15347219
0.041147263,-0.15374279
0.041928114,-0.16513777
0.041906792,-0.17908955
0.032250896,-0.16821122
0.031143683,-0.18232584
0.024764318,-0.18477345
0.035596893,-0.20672369
0.026935186,-0.23086333
0.023283643,-0.20914054
0.028927627,-0.14722896
0.029816371,-0.16259599
0.026546777,-0.1490891
0.026941138,-0.165411
0.02556576,-0.15076327
0.036187391,-0.15013838
0.021684617,-0.2043488
0.018554773,-0.18647194
0.019549006,-0.17083812
0.028844165,-0.18677235
0.025620093,-0.17139411
0.035060363,-0.1713872
0.030572919,-0.1541071
0.022106116,-0.15403509
0.026407459,-0.1444354
0.023334453,-0.23386788
0.026287421,-0.24342275
0.018010116,-0.25896597
0.030049539,-0.21372247
0.037912394,-0.1950469
0.036088306,-0.22272158
0.035513169,-0.1396532
0.040089591,-0.14534283
0.038565445,-0.15602398
0.03402,-0.14090729
0.033477283,-0.14494848
0.02957907,-0.14209557
0.012743038,-0.19850993
0.0126,-0.18191361
0.02035949,-0.1615324
0.0126,-0.23043418
0.014736863,-0.21967864
0.012988502,-0.24605227
0.015597636,-0.16078639
0.021203309,-0.1128099
0.015677533,-0.13861036
0.027505712,-0.034691572
0.022134932,-0.10358477
0.027320528,-0.035368204
0.021049375,-0.10401726
0.029394158,-0.03579855
0.025829498,-0.076069355
0.033909649,-0.24081612
0.020034993,-0.2440877
0.017741166,-0.24568439
0.038265765,-0.2333374
0.017602757,-0.24073458
0.029139656,-0.20706558
0.021329997,-0.23324418
0.019381026,-0.21225572
0.017872,-0.23277974
0.026683055,0.1517756
0.032114329,0.19361973
0.036046626,0.22826529
0.018275002,0.16055202
0.024134904,0.19986582
0.017089244,0.1684475
0.021673696,0.08625221
0.020647459,0.11997461
0.017552658,0.13013029
0.02655565,0.023098946
0.023047639,0.07119799
0.019833641,0.115814924
0.027729221,0.007958889
0.023254304,0.056257486
0.027561559,-0.00680995
0.028973623,-0.04959464
0.035306793,-0.06393719
0.030541731,-0.11679578
0.04010399,0.26428938
0.059126124,0.2873664
0.027487015,0.26922774
0.019716643,0.218503
0.026835466,0.24278283
0.020324452,0.25115156
0.026351255,-0.14730287
0.023921085,-0.16064215
0.024055539,-0.17914867
0.025602702,-0.15517712
0.021796705,-0.17279005
0.026515249,-0.16563225
0.03151954,-0.14130282
0.029502313,-0.14431906
0.028786095,-0.15057778
0.026365118,-0.22250938
0.02466494,-0.20635223
0.02419392,-0.18608594
0.024324809,-0.21411371
0.023156835,-0.19391108
0.022527631,-0.20084262
0.035363478,-0.23690295
0.031458805,-0.23073864
0.024016376,-0.22444344
0.019074489,-0.2923596
0.029170757,-0.26322913
0.023156961,-0.2721994
0.0126,-0.29501438
0.0126,-0.3137684
0.0126,-0.28827906
0.014606603,-0.29917645
0.0126,-0.31427836
0.013150134,-0.30036998
0.045401747,-0.22331405
0.045691295,-0.19620872
0.032693722,-0.17176723
0.036880981,-0.23371124
0.032581245,-0.20531487
0.024649255,-0.24245381
0.047184892,-0.17256069
0.045359279,-0.1727171
0.049117213,-0.19623446
0.037129396,-0.14436269
0.036213005,-0.15557218
0.042675524,-0.15624523
0.030639742,-0.13685131
0.027250832,-0.13505411
0.029447071,-0.1340959
0.028680704,-0.1375227
0.022828926,-0.13183403
0.025471775,-0.14483356
0.029443252,-0.14204049
0.030820339,-0.15400028
0.02986633,-0.1434071
0.035544283,-0.2577138
0.027514311,-0.27197194
0.021672156,-0.2845645
0.023366915,-0.2718439
0.018309934,-0.2863617
0.015120996,-0.28559422
