step,phase,c_lambda,e11_lambda,e22_lambda,e12_lambda,allen_cahn_lambda,force_balance_lambda,k_reg_lambda,interp_c_lambda,interp_e11_lambda,interp_e22_lambda,interp_e12_lambda
31,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
32,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
33,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
34,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
35,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
36,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
37,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
38,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
39,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
40,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
41,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
42,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
43,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
44,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
45,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
46,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
47,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
48,adam,1.268582550411332,0.9999999984118632,1.1534810090791225,1.0364568498937043,178.82156327593825,190.0,6.0642074167782685,0.1,0.1,0.1,0.1
