x,y,e11_abs_error_t71,e22_abs_error_t71,e12_abs_error_t71
1.8311099,38.687588,0.005047742,0.0020624755,0.00024142207
2.074575,38.61109,0.003545508,0.0028056803,0.0007984885
2.3180404,38.53459,0.0022277846,0.0020537341,0.0011545648
2.5615056,38.458096,0.0013484692,0.0018059824,0.0013731332
1.993373,38.8901,0.0033661122,0.0013537727,0.0002616612
2.2464602,38.80496,0.001997063,0.0022543094,0.0010455176
2.4995472,38.719814,0.0016759987,0.0020709315,0.0012380267
2.17488,39.07532,0.0018057292,0.0024265745,0.0009513451
2.4375892,38.981537,0.0015018954,0.0023444986,0.0010749439
2.3756309,39.24326,0.0017424027,0.0021201978,0.00078715105
1.4549216,37.968254,0.007162668,0.00157337,0.00087775465
1.7320184,37.959023,0.0058020027,0.0020258836,1.4106045e-06
2.0091152,37.949795,0.0033881783,0.0017012024,0.00086742354
2.286212,37.940563,0.002221882,0.001429163,0.0013453988
1.5621117,38.218517,0.0062036286,0.0024887845,2.5231173e-05
1.8483115,38.204044,0.004929785,0.0025710794,0.0005033134
2.1345112,38.18957,0.0028854273,0.0017194377,0.00096238515
1.6875077,38.458294,0.004978449,0.0020557132,8.866364e-05
1.9828106,38.43858,0.004220913,0.0027839122,0.00075536245
6.447986,38.965843,0.0021309636,0.00031195994,0.0005436514
6.6878014,39.15118,0.0032556818,0.0004216325,0.001153395
6.9276166,39.336517,0.0049874904,0.0005508611,0.0026377873
7.167432,39.521854,0.005770751,0.00054305966,0.002432639
6.282333,39.28026,0.0018999784,0.0008162005,0.0012711443
6.5301204,39.48429,0.0037508882,0.0010917909,0.0028708903
6.777908,39.68832,0.00409376,0.0011007877,0.0029440646
6.116679,39.59467,0.0025534977,0.0010312211,0.0024114724
6.372439,39.817398,0.0040682787,0.0010846395,0.002926185
5.951026,39.909084,0.0016824345,0.0012111741,0.0021814262
7.1331334,38.76385,0.0040528616,0.00014568157,0.0008782728
7.450928,38.849033,0.004533171,0.00023640748,0.00078998343
7.768723,38.934216,0.0055558905,0.0003207674,0.0020389457
8.086518,39.019398,0.0055274605,0.00035523303,0.0019430581
7.144566,39.01652,0.0044498635,9.3804556e-07,0.0010966971
