x,y,gt_c0,mu_h_at_gt_c0,j0_at_gt_c0,gt_c16,mu_h_at_gt_c16,j0_at_gt_c16,gt_c30,mu_h_at_gt_c30,j0_at_gt_c30,gt_c43,mu_h_at_gt_c43,j0_at_gt_c43,gt_c63,mu_h_at_gt_c63,j0_at_gt_c63,gt_c71,mu_h_at_gt_c71,j0_at_gt_c71
1.8311099,38.687588,0.08592603,0.37757325,7.7449884e-05,0.10686,0.4801495,9.407765e-05,0.136821,0.56302285,0.00011635638,0.1651534,0.59698105,0.00013578283,0.44800055,0.1355878,0.00024293696,0.6909128,-0.45983446,0.00020974281
2.074575,38.61109,0.071048655,0.2698245,6.5100765e-05,0.08863826,0.39366126,7.965352e-05,0.12359052,0.53372395,0.00010673852,0.14682283,0.5789987,0.00012339611,0.4389167,0.1589338,0.00024193698,0.67229646,-0.42235714,0.0002163769
2.3180404,38.53459,0.060858767,0.17158341,5.6386914e-05,0.07657422,0.31409574,6.9739035e-05,0.11504529,0.5089598,0.00010034147,0.13886249,0.56668246,0.000117809344,0.43735224,0.1629386,0.0002417484,0.66418314,-0.4052288,0.00021905536
2.5615056,38.458096,0.05514034,0.10470581,5.1405685e-05,0.06995441,0.26037216,6.417496e-05,0.110730335,0.49444103,9.705604e-05,0.13795772,0.56508696,0.0001171664,0.44120705,0.15306222,0.00024220426,0.6614039,-0.39925992,0.00021994334
1.993373,38.8901,0.05943605,0.15583587,5.515374e-05,0.06849056,0.24734521,6.2932755e-05,0.10995759,0.49168658,9.646377e-05,0.14174542,0.57149386,0.000119847224,0.41023245,0.23143616,0.00023771802,0.6491168,-0.37229228,0.00022368741
2.2464602,38.80496,0.052146543,0.06554365,4.8771668e-05,0.05947341,0.15625644,5.5186163e-05,0.103388935,0.4662342,9.1381065e-05,0.13512519,0.5598179,0.00011514294,0.41007367,0.23183131,0.00023769011,0.6430131,-0.35856682,0.00022543705
2.4995472,38.719814,0.047038857,-0.009091377,4.4236305e-05,0.053369228,0.081914425,4.984955e-05,0.100179106,0.4523778,8.886605e-05,0.13585833,0.5612221,0.00011566821,0.41555566,0.21814546,0.00023862283,0.636003,-0.34255427,0.00022735687
2.17488,39.07532,0.04486656,-0.044264555,4.2291547e-05,0.045212522,-0.038511753,4.2601892e-05,0.08920051,0.39687848,8.010848e-05,0.12436089,0.53571606,0.00010730799,0.37873936,0.3080855,0.0002312289,0.65087694,-0.376211,0.00022316903
2.4375892,38.981537,0.040929906,-0.11414099,3.8743055e-05,0.03966338,-0.13850641,3.7594782e-05,0.08869456,0.39398503,7.9699144e-05,0.12972035,0.54855835,0.000111237845,0.38753358,0.287061,0.00023323635,0.62972003,-0.32799017,0.00022899533
2.3756309,39.24326,0.039813697,-0.13556242,3.7731246e-05,0.035830755,-0.2187314,3.410038e-05,0.07832305,0.32699203,7.119422e-05,0.11553981,0.51053286,0.000100715726,0.36142707,0.3484543,0.0002268332,0.66690916,-0.411034,0.0002181698
1.4549216,37.968254,0.14271435,0.5730195,0.00012052844,0.18714017,0.603057,0.00014976184,0.19658685,0.6014372,0.00015547403,0.20312664,0.5990293,0.00015932515,0.5518473,-0.13519548,0.00024288717,0.81687,-0.6030296,0.00014698465
1.7320184,37.959023,0.118839465,0.5205786,0.0001031998,0.16595949,0.59747803,0.00013631239,0.17944826,0.6026038,0.00014498025,0.17940234,0.6025958,0.0001449514,0.5296117,-0.07750313,0.00024467421,0.78219956,-0.59019494,0.00016736831
2.0091152,37.949795,0.10025548,0.4527192,8.8926085e-05,0.14255331,0.57276905,0.00012041528,0.16059712,0.593734,0.00013276629,0.15948191,0.5928229,0.00013202164,0.508684,-0.022765927,0.000245472,0.7464115,-0.5521728,0.00018593081
2.286212,37.940563,0.0830691,0.3595574,7.511281e-05,0.121439524,0.5279592,0.00010514193,0.14444229,0.5756297,0.000121738645,0.1463688,0.57837605,0.00012308086,0.49343404,0.017214473,0.0002455131,0.7227143,-0.5168485,0.00019683776
1.5621117,38.218517,0.14271435,0.5730195,0.00012052844,0.18714017,0.603057,0.00014976184,0.19658685,0.6014372,0.00015547403,0.20312664,0.5990293,0.00015932515,0.5518473,-0.13519548,0.00024288717,0.81687,-0.6030296,0.00014698465
1.8483115,38.204044,0.1063924,0.47833705,9.3715775e-05,0.14169788,0.5714177,0.00011981373,0.16085733,0.59394,0.00013293968,0.16692042,0.59804106,0.00013694173,0.49897474,0.002688237,0.00024555085,0.74029946,-0.5437374,0.00018884943
2.1345112,38.18957,0.08362997,0.3631842,7.557285e-05,0.11437806,0.50680757,9.983589e-05,0.13998581,0.56860626,0.00011860535,0.14604376,0.5779247,0.00012285495,0.4760942,0.0626081,0.00024500696,0.705943,-0.48799372,0.00020389071
1.6875077,38.458294,0.11733915,0.5161078,0.000102073005,0.15174872,0.5851692,0.00012679027,0.16947056,0.5993819,0.00013860324,0.18913881,0.60290706,0.00015098508,0.5010314,-0.002704267,0.00024554972,0.7525355,-0.56010914,0.00018293284
1.9828106,38.43858,0.08400594,0.3655901,7.588097e-05,0.10904357,0.48836565,9.5761716e-05,0.13745736,0.56418645,0.00011681015,0.15251288,0.5860331,0.00012731248,0.4612041,0.101410285,0.0002441022,0.6971473,-0.47175932,0.00020736927
6.447986,38.965843,0.051186837,0.05231142,4.7923462e-05,0.0822181,0.35396743,7.441349e-05,0.21293677,0.59361947,0.00016494367,0.19443421,0.6020056,0.00015418792,0.45908612,0.10690944,0.00024393834,0.6548205,-0.38492477,0.00022198605
6.6878014,39.15118,0.049878135,0.033699512,4.6763922e-05,0.06699088,0.23352814,6.165568e-05,0.19386367,0.6021372,0.00015384553,0.18318945,0.6030332,0.0001473206,0.4399524,0.15627988,0.00024205932,0.6062168,-0.2719305,0.00023443945
6.9276166,39.336517,0.04573698,-0.029902458,4.3071945e-05,0.051703904,0.059483528,4.838072e-05,0.16801375,0.5986428,0.00013765562,0.16719493,0.59819615,0.0001371212,0.416951,0.21464792,0.00023885061,0.5515995,-0.13455649,0.00024291246
7.167432,39.521854,0.038518015,-0.16141605,3.65536e-05,0.03598899,-0.21520877,3.424525e-05,0.13843302,0.56593025,0.00011750439,0.15540496,0.5890856,0.00012927852,0.38245943,0.29923144,0.0002320966,0.48901647,0.028791763,0.00024544008
6.282333,39.28026,0.049367394,0.026251554,4.631046e-05,0.071660206,0.2750039,6.561712e-05,0.20112091,0.59987414,0.00015815308,0.1985441,0.6008223,0.00015663561,0.41787115,0.2123385,0.00023899906,0.61883396,-0.3023166,0.00023165139
6.5301204,39.48429,0.044572774,-0.049196243,4.2027787e-05,0.050524574,0.042976618,4.7337115e-05,0.17186001,0.6004411,0.00014014842,0.18264134,0.6029955,0.00014697944,0.39127576,0.27801913,0.00023404483,0.5581955,-0.15152878,0.00024219915
6.777908,39.68832,0.039075125,-0.15016556,3.7060374e-05,0.03372938,-0.26743054,3.2171924e-05,0.14504507,0.57650733,0.00012215938,0.17007037,0.5996655,0.00013899214,0.36232275,0.34640187,0.00022707507,0.5035201,-0.009229447,0.00024553706
6.116679,39.59467,0.046147235,-0.023259163,4.3439195e-05,0.04808116,0.0070171356,4.5166056e-05,0.1827115,0.6030009,0.00014702305,0.20207866,0.5994823,0.00015871374,0.36909986,0.3307404,0.00022885384,0.5813363,-0.21034762,0.0002390235
6.372439,39.817398,0.04097356,-0.11331844,3.8782575e-05,0.029064646,-0.39020348,2.7859254e-05,0.15410946,0.5877602,0.0001283999,0.18679589,0.60307217,0.00014955028,0.34255448,0.39067304,0.00022137167,0.5224347,-0.058763497,0.00024504447
5.951026,39.909084,0.044213317,-0.05528927,4.1704854e-05,0.02199478,-0.62935925,2.1239453e-05,0.16562621,0.59727514,0.00013609351,0.20558155,0.59787154,0.00016074895,0.32315472,0.431758,0.00021502883,0.5457604,-0.11947009,0.00024347252
7.1331334,38.76385,0.04508993,-0.040543556,4.2491913e-05,0.055158954,0.10493994,5.1422023e-05,0.16986091,0.599568,0.00013885641,0.15396604,0.5876095,0.00012830233,0.44994855,0.13056216,0.00024313053,0.63029015,-0.3293196,0.00022884985
7.450928,38.849033,0.03394162,-0.26234365,3.2367094e-05,0.040492132,-0.122451544,3.8346498e-05,0.11325237,0.5031011,9.898086e-05,0.1051098,0.47326732,9.272101e-05,0.38919833,0.28304535,0.00023359936,0.62346554,-0.3133049,0.0002305497
7.768723,38.934216,0.021777742,-0.63806057,2.1034615e-05,0.024594504,-0.5321951,2.368539e-05,0.05530542,0.10677695,5.15504e-05,0.055082012,0.10397196,5.1354524e-05,0.32176146,0.43460715,0.00021454472,0.6103529,-0.28196096,0.00023355987
8.086518,39.019398,0.020556878,-0.68891597,1.988076e-05,0.0126,-1.1338153,1.2286805e-05,0.0126,-1.1338153,1.2286805e-05,0.019712476,-0.72613025,1.908092e-05,0.2701255,0.52824306,0.00019391667,0.5827206,-0.213824,0.00023880047
7.144566,39.01652,0.046044342,-0.024917841,4.334714e-05,0.05524104,0.105970144,5.149398e-05,0.16604693,0.59753084,0.00013636971,0.15135682,0.58471656,0.00012652209,0.4322228,0.17603272,0.00024109647,0.6048248,-0.26854017,0.00023472795
7.462616,39.10311,0.03459588,-0.2469058,3.296819e-05,0.040785324,-0.11687279,3.861213e-05,0.11099564,0.49537563,9.72592e-05,0.10216715,0.46107554,9.042621e-05,0.360062,0.35157436,0.00022646172,0.5777708,-0.20136935,0.00023958119
7.7806654,39.189705,0.024614826,-0.53148293,2.3704444e-05,0.026929976,-0.45454597,2.5871079e-05,0.06742004,0.23753214,6.202161e-05,0.06736955,0.23706293,6.197858e-05,0.2898548,0.4954921,0.00020241724,0.5158264,-0.04147563,0.00024529616
7.1559987,39.269188,0.042799026,-0.07991314,4.0431758e-05,0.048452776,0.012646198,4.549703e-05,0.15055561,0.583771,0.0001259726,0.14468871,0.57599056,0.000121910736,0.3948531,0.26932544,0.00023479192,0.54166687,-0.10886313,0.0002438255
7.4743032,39.357193,0.033254165,-0.27896476,3.173457e-05,0.034726307,-0.24387193,3.308793e-05,0.10936438,0.48953915,9.600832e-05,0.113318235,0.5033207,9.9030985e-05,0.33052027,0.41646188,0.00021752405,0.48382455,0.042389445,0.00024530545
