epoch,data_loss,physics_loss,total_loss
0,0.1994612846643694,1.0517832446192833e-05,0.20051306774539332
1,0.10681539197121898,2.764638000393637e-07,0.10684303867240105
2,0.07052524928604403,1.3375930487955562e-07,0.07053862524128729
3,0.06123880549303947,7.083880619014112e-08,0.06124588943296863
4,0.058983592977446896,3.1877649194158156e-08,0.05898678074440648
5,0.05776926142073447,1.6160564786013486e-08,0.05777087711518811
6,0.057339350903226484,1.273060358206448e-08,0.05734062399114332
7,0.05711798141560247,1.3534158969169003e-08,0.057119334777516705
8,0.057127671496522044,1.5533906233007466e-08,0.05712922518291781
9,0.05701999690744185,1.7656255124620657e-08,0.0570217622143607
10,0.05690146874516241,1.8877185062416584e-08,0.05690335614546653
11,0.05680418747567361,2.0397980365725833e-08,0.05680622713219735
12,0.05667728221704883,2.0814418403900955e-08,0.05667936333244847
13,0.056737813377572645,2.1854538766499517e-08,0.05673999880110064
14,0.05663000191411664,2.258233600116455e-08,0.05663226004089079
15,0.05645816773176193,2.234892443152236e-08,0.05646040254542904
16,0.056404041186455756,2.2763407503042975e-08,0.056406317338828116
17,0.05623994515307488,2.2843303220325183e-08,0.0562422291165398
18,0.05620771261953538,2.2415526524538667e-08,0.05620995392241786
19,0.0560884618711087,2.20793604474847e-08,0.05609067000689045
20,0.0559692746929584,2.0805272572855053e-08,0.05597135508733411
21,0.055801858464556355,2.0849292242484897e-08,0.055803943425416946
22,0.05559184570466318,1.980443611255249e-08,0.05559382611705411
23,0.055625866017033974,1.8891248651419618e-08,0.05562775534006857
24,0.05538657199471227,1.8173426519935323e-08,0.055388389455695304
25,0.055207081860111605,1.6825725386447923e-08,0.05520876472996127
26,0.05507795885205269,1.5278090047568257e-08,0.05507948646141637
27,0.05486054261845927,1.4179173963989635e-08,0.054861960391844475
28,0.05451479938722426,1.3371738469180445e-08,0.054516136526100094
29,0.05427546426653862,1.2808939142325192e-08,0.05427674552605998
30,0.053871266423694546,1.2485455794689876e-08,0.05387251451611519
31,0.052940228172848304,1.3118023971740497e-08,0.05294154019605729
32,0.05150458012377062,1.5227300739325294e-08,0.051506102565796144
33,0.0497899204492569,1.769648376224605e-08,0.049791690442831285
34,0.047801962422747764,2.1559597920559685e-08,0.047804118043953375
35,0.04548340266750705,3.0842841341847905e-08,0.04548648648685025
36,0.04242949392045698,4.522981627939859e-08,0.04243401666322062
37,0.039049180524964484,6.333780502227309e-08,0.039055514359666456
38,0.03528605647865803,8.382849454018205e-08,0.035294439403280135
39,0.03125955158423993,1.1566763122932717e-07,0.03127111825010469
40,0.027353898231540958,1.7656536407861084e-07,0.02737155484576379
41,0.024159072748114987,2.7135086057686777e-07,0.024186207882819638
42,0.02195469139804763,3.429755954511488e-07,0.021988988884033694
43,0.020642648180646282,4.0183835201259496e-07,0.020682832045901205
44,0.019805244320342617,4.348669784987226e-07,0.019848730835703113
45,0.019307153059109565,4.4724534166474063e-07,0.019351877632641023
46,0.018948886663683,4.447025118327386e-07,0.01899335683593827
47,0.018590129491302274,4.3764092908766603e-07,0.018633893480704676
48,0.01836129019577657,4.243127078083372e-07,0.018403721432532032
49,0.018211259897197445,4.2053732195493086e-07,0.01825331367792622
50,0.018057669122372905,4.0467809702521106e-07,0.018098136890799768
51,0.017948357808974483,3.939706259863611e-07,0.017987754856867176
52,0.01774887139758756,3.8162826579155665e-07,0.017787034142642252
53,0.01768075143017115,3.7684020251236364e-07,0.017718435505465154
54,0.01757989174896671,3.6990644319655164e-07,0.017616882259326595
55,0.017547151764794704,3.6047796925231523e-07,0.017583199566410433
56,0.017420343513930996,3.5122358377931607e-07,0.017455465881334196
57,0.017348466050480644,3.4274475616081376e-07,0.017382740283445004
58,0.01727170812627,3.394088194439856e-07,0.017305648945752653
59,0.01722308728964098,3.299336642172538e-07,0.01725608068368127
60,0.017270519127768856,3.2262230690556013e-07,0.017302781283374754
61,0.017144363343475327,3.120643523949008e-07,0.01717556976983624
62,0.017184707816810377,3.0614337135610246e-07,0.017215322222440474
63,0.01703487745215816,2.9867864041519963e-07,0.017064745177424723
64,0.016975257936264237,2.896250928261584e-07,0.017004220415988276
65,0.01693260783870374,2.8437034691177685e-07,0.016961044992410367
66,0.016959378585940408,2.7761455517212463e-07,0.016987140020055157
67,0.016921945547144258,2.6896317477152363e-07,0.016948841842672518
68,0.016863209405733694,2.652905274383175e-07,0.016889738609954234
69,0.01680518127977848,2.591830050938194e-07,0.016831099656560728
70,0.01676444946638038,2.5257434245876566e-07,0.01678970690456129
71,0.01674230907472872,2.4547435235754457e-07,0.016766856484595808
72,0.016717249227146947,2.3864247936906455e-07,0.016741113436798894
73,0.01685633152843483,2.3661857264942815e-07,0.016879993310618784
74,0.016691128753366008,2.286807486026162e-07,0.01671399686846041
75,0.01662368826087444,2.2377353280761224e-07,0.016646065629057346
