concentration,k(c)
0.053603352,-0.0029764697
0.023368358,-0.0027167574
0.036930077,-0.0028252155
0.051372224,-0.0029336885
0.034810228,-0.0027823225
0.042333725,-0.002889745
0.034810228,-0.0028432235
0.057896271,-0.00353501
0.038761699,-0.0033226386
0.028892368,-0.003135413
0.045069815,-0.0032818392
0.065941635,-0.003088288
0.08166324,-0.0029093921
0.051434493,-0.0030435547
0.08166324,-0.002864197
0.064494327,-0.0028241351
0.025079812,-0.0030571297
0.025079812,-0.0029932559
0.03771127,-0.0029217154
0.03284051,-0.0031339973
0.043108047,-0.0030619726
0.0501909,-0.0029832646
0.044704456,-0.003201902
0.058156008,-0.0031230077
0.057000304,-0.0032623634
0.016223223,-0.0034387186
0.014054324,-0.0031991452
0.03150051,-0.0029990599
0.0126,-0.0031694472
0.01466334,-0.0029640123
0.041602685,-0.0027906671
0.0126,-0.0029357672
0.0126,-0.0027644783
0.0126,-0.0027469397
0.014215888,-0.0035649762
0.015303311,-0.0034600794
0.015809659,-0.003337659
0.014490738,-0.00319729
0.01551064,-0.0033967644
0.01408465,-0.003294088
0.013186344,-0.003174089
0.021710783,-0.0032274053
0.015845973,-0.0031271055
0.213634442,-0.003193833
0.219142794,-0.0030563325
0.21534068,-0.0029410496
0.224320726,-0.002855584
0.262211924,-0.003093116
0.266310272,-0.0029801428
0.278961678,-0.0028967857
0.327014868,-0.0030259714
0.339853927,-0.0029450208
0.400031318,-0.0030004308
0.0126,-0.0033384934
0.0126,-0.0030977353
0.0126,-0.002902098
0.021416687,-0.003091015
0.012722982,-0.0028913915
0.0126,-0.0027388558
0.056012189,-0.0028913245
0.044243069,-0.002741024
0.088345587,-0.0027551576
0.102673848,-0.00323423
0.100354297,-0.0030376464
0.109154728,-0.0028757453
0.127804004,-0.003057696
0.122105936,-0.0028960332
0.125151836,-0.0027777106
0.151862528,-0.0029268041
0.127482759,-0.0028108284
0.365424919,-0.0032203272
0.377894549,-0.0031317547
0.39048456,-0.0030570552
0.420779153,-0.0031741112
0.435298244,-0.0031012371
0.454369369,-0.003046237
0.477800567,-0.0031495094
0.505328979,-0.003096141
0.551530953,-0.0031500086
0.551530953,-0.0031958297
0.598099775,-0.0032441542
0.601745257,-0.0032946318
0.517637539,-0.0031847805
0.550144902,-0.0032301173
0.574813137,-0.0032791123
0.501442615,-0.0032325909
0.530457056,-0.0032782927
0.486817094,-0.0032909885
0.027518722,-0.0037690178
0.023109361,-0.0035562739
0.015643948,-0.0033129156
0.0126,-0.0030407459
0.024897901,-0.0035809204
0.018795564,-0.003367886
0.0126,-0.0031241402
0.019359642,-0.0033901855
0.015236067,-0.003177233
0.601745257,-0.0033528507
0.60878476,-0.0034132823
0.618926494,-0.0034758598
0.573297754,-0.0033322945
0.579458284,-0.0033933446
0.586171462,-0.0034564212
0.548673716,-0.0033920184
0.554921904,-0.0034544766
0.525680525,-0.0034686625
0.026973281,-0.0037502497
0.016537716,-0.0033854544
0.014456308,-0.0029739812
0.0126,-0.0025152043
0.018953501,-0.0035183504
0.012688214,-0.0031515807
0.0126,-0.00273896
0.013038734,-0.003281407
0.0126,-0.00291349
0.631637943,-0.0035629496
0.640992813,-0.0036538318
0.646106624,-0.003748946
0.58393571,-0.003544405
0.592442769,-0.0036361068
0.596508499,-0.0037330016
0.547641077,-0.0036412776
0.551484009,-0.003736429
0.514962081,-0.003758885
0.0126,-0.0016441718
0.014570887,-0.0018741563
0.023228621,-0.0021002814
0.032634273,-0.0023216978
0.0126,-0.0014526546
0.015877164,-0.0016852841
0.023986551,-0.0019138679
0.0126,-0.0013135821
0.013521165,-0.001548253
0.0126,-0.00122495
0.022098283,-0.00318899
0.014565145,-0.002685137
0.0126,-0.0021595806
0.02467006,-0.0029696599
0.013111734,-0.002465643
0.0126,-0.0019383132
0.016125792,-0.0027446076
0.0126,-0.0022414923
0.5981987,-0.004177116
0.573953022,-0.004167922
0.539641652,-0.0041693673
0.506189024,-0.004186131
0.608155659,-0.004026212
0.579862063,-0.0040116087
0.544555919,-0.004012525
0.626435516,-0.003883712
0.586956011,-0.0038644448
0.012605595,-0.0014114007
0.012867401,-0.0015952438
0.013439441,-0.001776062
0.0126,-0.0011608675
0.0126,-0.0013467744
0.0126,-0.001530312
0.0126,-0.0011053234
0.0126,-0.0012914389
0.0126,-0.001048483
0.53033731,-0.0047355145
0.56036779,-0.004528053
0.593418463,-0.004338734
0.600068955,-0.004749872
0.646635609,-0.0045464933
0.658165197,-0.00436303
0.674765453,-0.0047710314
0.699341693,-0.0045658424
0.701354967,-0.004788317
0.589790909,-0.0052683577
0.637252864,-0.0051297843
0.689042155,-0.0049648955
0.642586001,-0.005324535
0.6929744,-0.0051766112
0.702256706,-0.0049987063
0.705427038,-0.005382456
0.71384332,-0.005217217
0.735291036,-0.0054348037
0.759078676,-0.0055898055
0.758951088,-0.0057354495
0.765809379,-0.0058696643
0.729631082,-0.0055326
0.74781052,-0.0056649074
0.747965019,-0.0057830736
0.695606176,-0.005592428
0.717124646,-0.005696766
0.656676354,-0.005614795
0.0126,-0.00095494837
0.0126,-0.000978969
0.0126,-0.0010107011
0.0126,-0.0011946186
0.0126,-0.0012130067
0.0126,-0.0012396201
0.0126,-0.0014131293
0.0126,-0.0014286116
0.0126,-0.0016152188
0.785566078,-0.0061283335
0.76369965,-0.0060259625
0.734368135,-0.0059232935
0.698795287,-0.005823113
0.779968781,-0.00604748
0.759166356,-0.005960442
0.730440871,-0.005871944
0.765809379,-0.005961634
0.754174157,-0.0058889315
0.013279502,-0.001589112
0.012877477,-0.0013685301
0.012770421,-0.0011286363
0.01271372,-0.0008729324
0.0126,-0.0013795197
0.0126,-0.0011497885
0.0126,-0.00089982897
0.0126,-0.0011679754
0.0126,-0.0009300783
0.78787136,-0.0062109604
0.793626405,-0.0062972084
0.800760492,-0.0063895658
0.77013526,-0.0061031953
0.775046214,-0.0061738864
0.781107376,-0.0062503517
0.753989465,-0.006051019
0.759753859,-0.006111942
0.737980219,-0.0059766322
0.012658296,-0.00090486556
0.01280114,-0.0008633062
0.012813244,-0.0008524731
0.01319202,-0.0011464283
0.013305428,-0.001117833
0.013080275,-0.0011197254
0.013788709,-0.001379244
0.013782016,-0.001363121
0.017741346,-0.0016025975
0.730297738,-0.0061577484
0.76736345,-0.0062493607
0.786506964,-0.006328635
0.754005858,-0.006343089
0.789662913,-0.0064340904
0.806854601,-0.006510131
0.777013484,-0.006541468
0.806854601,-0.006630622
0.799373614,-0.0067503527
0.012927764,-0.0016311184
0.012702081,-0.0014977828
0.012610571,-0.0013549551
0.0126,-0.0011973456
0.01295793,-0.0013945028
0.012712335,-0.001242049
0.0126,-0.0010794923
0.012895394,-0.0011522546
0.012613164,-0.0009802654
0.774762334,-0.0068809018
0.748750764,-0.0070173964
0.726707193,-0.007167138
0.730725988,-0.0065367073
0.689857372,-0.006656103
0.66606508,-0.006789662
0.663048932,-0.006315604
0.622500656,-0.0064352453
0.597496191,-0.0061026737
0.0126,-0.002119787
0.0126,-0.001974836
0.0126,-0.0017880872
0.0126,-0.0015527233
0.0126,-0.0018244088
0.0126,-0.0016600266
0.0126,-0.0014525726
0.0126,-0.0015166476
0.0126,-0.0013330653
0.43112977,-0.00663092
0.570341738,-0.0067773312
0.652829055,-0.006958738
0.530078469,-0.007052265
