step,phase,c_lambda,e11_lambda,e22_lambda,e12_lambda,allen_cahn_lambda,force_balance_lambda,k_reg_lambda
22,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
23,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
24,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
25,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
26,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
27,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
28,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
29,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
30,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
31,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
32,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
33,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
34,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
35,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
36,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
37,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
38,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
39,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
40,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
41,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
42,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
43,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
44,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
45,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
46,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
47,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
48,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
49,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
50,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
51,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
52,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
53,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
54,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
55,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
56,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
57,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
58,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
59,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
60,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
61,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
62,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
63,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
64,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
65,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
66,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
67,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
68,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
69,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
70,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
71,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
72,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
73,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
74,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
75,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
76,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
77,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
78,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
79,adam,100.9,5.271630333861718,1.0078714836703422,0.9999999999995977,190.0,190.0,100.0009
