step,phase,c_loss,e11_loss,e22_loss,e12_loss,allen_cahn_loss,force_balance_loss,k_reg_loss,total_loss
20,adam,0.08043227512990275,0.06419488679497473,0.03439154728285728,0.05955169181669912,1.849825164226199e-05,0.00028553563958754944,2.3515449888397978e-07,8.606032033120432
21,adam,0.07803552117078535,0.06398203608489805,0.03412586060022154,0.060137266112912084,1.673633531965841e-05,0.0002799222861687022,1.8567126629008153e-07,8.361989375083677
22,adam,0.07577348500490189,0.06396959613888495,0.0342963233950638,0.06051019699342789,1.5276808763672072e-05,0.0002752982451760721,1.5756380469889747e-07,8.133070207411244
23,adam,0.07347709541359256,0.06395229252596055,0.033986797736537074,0.060599501094510476,1.4062265167482227e-05,0.0002678857305117192,1.4142916744540636e-07,7.899410078602452
24,adam,0.07130846693631142,0.06387834551353608,0.03374855160232513,0.06125527404008373,1.3003921213244358e-05,0.0002626201857046615,1.3264579250047854e-07,7.679418717661211
25,adam,0.06915979183489276,0.06369909920519398,0.03356345532642257,0.06149726192797384,1.2097437789751922e-05,0.00025614180072631326,1.2737370017505107e-07,7.460324318178238
26,adam,0.06711284479787273,0.06370088770504921,0.03364117383476226,0.06167271216550181,1.1264132926073451e-05,0.0002515926842592777,1.250585055440605e-07,7.253027685226932
27,adam,0.06538974770134495,0.06368943592233042,0.03331105699462275,0.06186682382418263,1.0528800269258359e-05,0.0002458730079759393,1.2318259479116023e-07,7.0777416075429604
28,adam,0.06357376890317086,0.06350953576545562,0.03322695454041804,0.06189854587278058,9.851862805296531e-06,0.0002405759423122471,1.2201714334255044e-07,6.892372700475877
29,adam,0.062070230803182046,0.06364115579955039,0.03321037994277093,0.062301701836047635,9.22996514418628e-06,0.0002364329482060707,1.214947030436428e-07,6.740840634992046
30,adam,0.06056615698241418,0.06333007026583917,0.033075230196118355,0.06246102396999636,8.657046061172526e-06,0.00023336324328181122,1.2086481699351415e-07,6.586770534515381
31,adam,0.059245959284805486,0.06323039243298192,0.03307094533116587,0.06229344527086904,8.140594364968204e-06,0.0002278857066431233,1.203355655694659e-07,6.4517264519968345
32,adam,0.05817680409358394,0.06329145030148568,0.03294130727168052,0.06219136714935303,7.659538339559671e-06,0.00022230011358436558,1.1997339689448762e-07,6.342784989264704
33,adam,0.057140262497048226,0.06318597747914252,0.03286223221690424,0.0622376823617566,7.22740063088901e-06,0.00021903954808705396,1.1964437182922988e-07,6.236906943782683
34,adam,0.056146733703151826,0.06351338122640887,0.032991295620318384,0.06204016098091679,6.829166434932455e-06,0.00021689185720583003,1.1890671455346585e-07,6.137834641241258
35,adam,0.05544701771390054,0.06349968513654124,0.033007574177557425,0.06227962901034663,6.476425970768398e-06,0.00021050212014796994,1.1868080620050961e-07,6.066135883331299
36,adam,0.05477631044003271,0.06304604536102663,0.03282558677657958,0.06196446740819562,6.159928034321638e-06,0.00020726271923781644,1.1829043172940967e-07,5.994895796621999
37,adam,0.05409305891202342,0.06305583734666148,0.032724260322509274,0.061978412491659966,5.881568643329252e-06,0.00020320056618431642,1.17730800706883e-07,5.9250944968192805
38,adam,0.05347421609105602,0.06294977460657397,0.03284042803270201,0.062196198009675546,5.640360849347123e-06,0.0002002305146532073,1.1742492122743164e-07,5.861818713526572
39,adam,0.05307792740002755,0.06297597493375501,0.03276410494600573,0.06185825193120587,5.428775957918861e-06,0.00019786798398971798,1.1680855290903985e-07,5.821067240930373
40,adam,0.05261749654046951,0.06313218801252303,0.0331301708375254,0.0618169313717273,5.251621646053653e-06,0.0001942117012203521,1.166517106852435e-07,5.775032612585252
41,adam,0.05197281414462674,0.06272629251883875,0.033273374661803246,0.0618017002219154,5.106236820269729e-06,0.0001913066488698185,1.160006140176231e-07,5.707393938495267
42,adam,0.051486201464168484,0.06273437736015167,0.03293751432530342,0.061642820075634985,4.993351716796995e-06,0.00018569414087030435,1.1559140810115951e-07,5.65675195570915
43,adam,0.05103578754971104,0.062483916239392374,0.03295475208470898,0.06168490371877147,4.908904649651489e-06,0.00018494384787646272,1.1512598748155259e-07,5.609885646450904
44,adam,0.05057307945624474,0.06265690117593735,0.033158090866861806,0.061803986588793415,4.854335701008583e-06,0.0001802746475967128,1.1470758874653961e-07,5.563536782418528
45,adam,0.05004784693160365,0.06250462681055069,0.03327413347940291,0.061567133112299825,4.8271007061327594e-06,0.0001778837444538611,1.140878886703391e-07,5.509158795879733
46,adam,0.049485246260319984,0.06231406943932656,0.03322813744025846,0.06147510053650025,4.831057506840631e-06,0.000173978092554476,1.1356517148897183e-07,5.450508071530249
47,adam,0.04888612224209693,0.06201209103868854,0.033529285822183855,0.06131317526582749,4.866961027742476e-06,0.00017213166387180888,1.1285923994635947e-07,5.3882619642442275
48,adam,0.048307700623427666,0.06202222803427327,0.03349937979252108,0.061220261478616346,4.934323002206868e-06,0.0001695454111247654,1.1264209923234786e-07,5.329351163679553
49,adam,0.04781625936588933,0.061867365433323766,0.03352318589966143,0.061282233845803044,5.03562789104293e-06,0.00016637334286520678,1.1207334117377668e-07,5.278450719771847
50,adam,0.047164969506763646,0.061819710318119295,0.03370588188690524,0.0609934335995105,5.175433802979833e-06,0.00016158241910048791,1.1158885165000796e-07,5.211495845548568
51,adam,0.04637638707795451,0.06151068330772461,0.03375258807453417,0.060817369650448524,5.359840924352137e-06,0.00016031580396942916,1.1120062851894604e-07,5.129964305508521
52,adam,0.04562267240497374,0.061434988533296896,0.033935200843599536,0.06067043338571825,5.584292246625879e-06,0.00015800121247828487,1.108431959551126e-07,5.053155360683318
53,adam,0.04488239124897988,0.061189896156710964,0.03408341386145161,0.06095665765385474,5.8657718352239295e-06,0.00015404606669870837,1.1023928207563468e-07,4.976906391882127
54,adam,0.044081449148155025,0.06110248438292934,0.034263379871845245,0.06106215883647242,6.2096164290250595e-06,0.00015154534306812792,1.0989988377405685e-07,4.89550768944525
55,adam,0.043054901904636816,0.06075496815385357,0.03439565729950705,0.06031736238829551,6.615636016982945e-06,0.0001503699656290513,1.0926897156269338e-07,4.789339311661259
56,adam,0.04217329056512925,0.06065046126323362,0.03470751456916332,0.06010135479511753,7.090663588784199e-06,0.00014721923517138367,1.0866715286745662e-07,4.6994237438324955
57,adam,0.041165227851560036,0.06029711363296355,0.0345239054651991,0.06022791191935539,7.662671284760431e-06,0.00014747848786834266,1.0815980839278117e-07,4.595946788787842
58,adam,0.04015180156115563,0.06023798570517571,0.03508884399648635,0.059911134742921396,8.316549200014467e-06,0.00014340310383798374,1.0768172727686701e-07,4.492982987434633
59,adam,0.0390474658098913,0.05998350631806158,0.035055207208760326,0.05958602637533219,9.08194458808735e-06,0.00014466823232660612,1.0733470645618581e-07,4.380240717241841
60,adam,0.03784615618567313,0.05955101717864313,0.03527552730614139,0.05950915501002343,9.991220483038155e-06,0.0001398379850621906,1.0677547012868848e-07,4.256148669027513
61,adam,0.03670849795303037,0.05942335808950086,0.03534042048117807,0.05868899221381833,1.1010805733789194e-05,0.00014296824332221501,1.0635338000955955e-07,4.140719667557748
62,adam,0.03551124360772871,0.05894021401482244,0.035564946070794135,0.05816503397880062,1.2145928790672652e-05,0.0001426273830152387,1.056845376517172e-07,4.017222942844514
63,adam,0.034404492666644436,0.05876107081290214,0.03581433454828878,0.05781086149715608,1.3429357104835236e-05,0.00014406121420418663,1.0531164138588029e-07,3.905020752260762
64,adam,0.033073648630130674,0.058346872969019796,0.03611424517246985,0.057255323976278305,1.4873776161684579e-05,0.0001438903578204073,1.048633051933364e-07,3.768543827918268
