concentration,j_0(c)
0.085926031,1.1106118e-08
0.071048654,8.985798e-09
0.060858766,7.212509e-09
0.055140338,5.812005e-09
0.05943605,9.368266e-09
0.052146544,7.50928e-09
0.047038858,6.0101395e-09
0.044866557,7.602802e-09
0.040929906,6.0711858e-09
0.039813696,5.9775593e-09
0.142714353,1.4930858e-08
0.118839463,1.176937e-08
0.100255479,9.171478e-09
0.083069098,7.1437025e-09
0.142714353,1.3974004e-08
0.106392402,1.0936369e-08
0.083629974,8.45234e-09
0.117339152,1.2678487e-08
0.084005939,9.810051e-09
0.051186838,4.7396727e-09
0.049878135,4.8888693e-09
0.045736979,5.0222946e-09
0.038518016,5.1339253e-09
0.049367395,4.8301825e-09
0.044572773,4.952008e-09
0.039075126,4.9668585e-09
0.046147235,4.5163406e-09
0.040973559,4.489083e-09
0.044213316,3.840083e-09
0.045089931,4.260207e-09
0.033941618,4.2710164e-09
0.021777741,4.3617243e-09
0.020556879,4.5422768e-09
0.046044341,4.625146e-09
0.03459588,4.6741278e-09
0.024614825,4.8065814e-09
0.042799027,4.946336e-09
0.033254164,5.0307807e-09
0.062107197,3.98787e-09
0.062107197,4.1843e-09
0.043272648,4.362606e-09
0.045175706,3.6778307e-09
0.037065682,3.8426884e-09
0.023338567,4.011855e-09
0.02694625,3.4323477e-09
0.022251595,3.572004e-09
0.015840899,3.2514573e-09
0.022247985,3.026156e-09
0.02359895,3.0472875e-09
0.028266077,3.0698237e-09
0.034148001,3.091568e-09
0.030246081,3.2614933e-09
0.044227797,3.3442247e-09
0.034148001,3.430703e-09
0.053418958,3.5805743e-09
0.069103647,3.7386254e-09
0.047701209,2.6218627e-09
0.049828082,3.2784544e-09
0.039921901,4.3622173e-09
0.034526634,2.846129e-09
0.035383612,3.5577976e-09
0.034815799,4.663418e-09
0.023215958,3.0385419e-09
0.026503166,3.749159e-09
0.023879945,3.192917e-09
0.012801384,2.6181077e-09
0.013275033,2.4735207e-09
0.014555353,2.362672e-09
0.016681132,2.2440327e-09
0.016082812,2.4803415e-09
0.016213278,2.2802547e-09
0.014041773,2.1156865e-09
