x,y,c_abs_error_t71
1.8311099,38.687588,0.49120283
2.074575,38.61109,0.47005457
2.3180404,38.53459,0.45612597
2.5615056,38.458096,0.44510484
1.993373,38.8901,0.4711483
2.2464602,38.80496,0.46022278
2.4995472,38.719814,0.44469965
2.17488,39.07532,0.4906155
2.4375892,38.981537,0.46240002
2.3756309,39.24326,0.52016205
1.4549216,37.968254,0.5374068
1.7320184,37.959023,0.51382893
2.0091152,37.949795,0.48473245
2.286212,37.940563,0.46420744
1.5621117,38.218517,0.5637213
1.8483115,38.204044,0.4955802
2.1345112,38.18957,0.46516144
1.6875077,38.458294,0.5267646
1.9828106,38.43858,0.47708485
6.447986,38.965843,0.35762563
6.6878014,39.15118,0.34073237
6.9276166,39.336517,0.32244274
7.167432,39.521854,0.2965454
6.282333,39.28026,0.34122595
6.5301204,39.48429,0.31324345
6.777908,39.68832,0.29641992
6.116679,39.59467,0.33552653
6.372439,39.817398,0.30880105
5.951026,39.909084,0.33666492
7.1331334,38.76385,0.3862872
7.450928,38.849033,0.41449225
7.768723,38.934216,0.4294282
8.086518,39.019398,0.42213124
7.144566,39.01652,0.3742586
7.462616,39.10311,0.38205558
7.7806654,39.189705,0.3474764
7.1559987,39.269188,0.32850006
7.4743032,39.357193,0.30416787
8.828586,38.68565,0.40968308
8.578567,38.79061,0.39551514
8.33121,38.90186,0.42020354
8.630538,38.502308,0.41922212
8.381851,38.610413,0.42454922
8.135827,38.724808,0.43960607
8.432491,38.318966,0.43704718
8.185135,38.430214,0.43881673
8.234444,38.135624,0.44678384
8.861869,37.984898,0.45597005
9.05914,38.085526,0.44844162
9.256412,38.186153,0.42772135
9.453683,38.28678,0.41264468
8.850775,38.218483,0.4409565
9.053646,38.328793,0.4222188
9.256516,38.439106,0.40734184
8.83968,38.452065,0.4144144
9.048151,38.57206,0.4018479
3.2379718,39.719036,0.5145037
2.9353228,39.58808,0.523974
2.6478758,39.42949,0.5397776
3.2805686,39.388187,0.46776748
2.9855206,39.243416,0.4575038
2.7056746,39.071003,0.44170162
3.3231654,39.057343,0.41566592
3.0357187,38.89875,0.40792271
3.3657625,38.726494,0.41799933
4.1614065,38.9873,0.42241335
4.279971,39.32223,0.44874394
4.3985353,39.657166,0.48243695
4.5171,39.992096,0.5032003
3.8535948,39.231213,0.43562943
3.9660122,39.58669,0.4844262
4.0784297,39.942165,0.5212758
3.5457833,39.475124,0.47726297
3.6520536,39.851143,0.5204259
5.477366,39.97626,0.38868275
4.999391,40.003933,0.4798953
5.7606454,39.515438,0.3702731
5.284828,39.562862,0.42436057
4.804695,39.570778,0.4648162
5.5702653,39.12179,0.39018258
5.09229,39.14946,0.42910612
5.379885,38.728146,0.3969842
1.1737292,36.94111,0.61128306
1.4947075,37.00582,0.5670146
1.8156857,37.070534,0.5079505
2.1366642,37.135246,0.4737264
1.2398866,37.29027,0.61093795
1.5746516,37.351593,0.54224384
1.9094166,37.412914,0.4841358
1.3336174,37.632652,0.5907382
1.6821691,37.690586,0.5209727
9.326107,37.456306,0.46255094
9.599195,37.529343,0.4508566
9.872282,37.60238,0.442414
10.14537,37.67542,0.42004877
9.368632,37.73313,0.45616567
9.642258,37.805965,0.44121695
9.915883,37.8788,0.43211704
9.411158,38.009956,0.4406953
9.685321,38.082584,0.42624536
11.564095,36.468864,0.38637114
11.494565,36.253357,0.4491968
11.4250345,36.03785,0.49144965
11.355504,35.822342,0.5163615
11.735493,36.345623,0.3921392
11.667287,36.13195,0.45851588
11.599081,35.918278,0.50613105
11.909539,36.22605,0.4091307
11.842658,36.014214,0.47432137
12.086235,36.11015,0.43687832
2.1219835,35.912125,0.55473465
1.8058988,36.25512,0.57061416
1.4898139,36.598114,0.58435297
1.7350696,35.79215,0.5777122
1.4223251,36.134678,0.595916
1.1095805,36.47721,0.6164118
1.3481557,35.672176,0.57935405
1.0387514,36.01424,0.6007403
0.9612417,35.5522,0.5760004
9.966084,36.761005,0.45643705
10.282975,36.847897,0.45472094
10.599866,36.934788,0.44438398
10.916758,37.021683,0.41332012
10.025846,37.065807,0.45044994
10.344675,37.155262,0.43635297
10.663505,37.24472,0.40828654
10.085608,37.370613,0.43747354
10.406375,37.46263,0.40749615
10.833222,36.774853,0.448989
10.749686,36.528023,0.47442612
10.666151,36.281197,0.4935686
11.128115,36.831535,0.39732677
11.04679,36.587643,0.4496586
10.965466,36.34375,0.48530552
11.343894,36.647263,0.38741028
11.26478,36.406307,0.4502905
12.52616,35.69359,0.41883597
12.388285,35.843197,0.4185324
12.241643,35.98205,0.4379334
12.307179,35.604115,0.43502104
12.164921,35.748344,0.45217943
12.013896,35.88182,0.46295777
12.0882,35.51464,0.46798095
11.941558,35.653492,0.48431018
11.869219,35.425167,0.48450676
2.0759482,34.463024,0.5499926
1.7043794,34.82608,0.54710263
1.3328105,35.18914,0.5572187
1.6320688,34.238457,0.5507947
1.2548895,34.602432,0.5496522
0.8777102,34.966408,0.56185925
1.1881893,34.013893,0.5425112
0.8053996,34.378784,0.5563021
0.74430984,33.789326,0.53341925
13.059776,35.122444,0.37914464
12.878378,35.308624,0.38291714
12.700506,35.499004,0.38959852
12.815469,35.037327,0.41069785
12.635834,35.22561,0.41390553
12.459724,35.41809,0.42183083
12.571161,34.95221,0.43489972
12.39329,35.14259,0.44192943
12.326854,34.867092,0.45532024
2.166426,32.728203,0.4817839
1.6923873,33.081913,0.48649538
1.2183486,33.43562,0.4949541
1.6512784,32.432735,0.44277814
1.1706712,32.78705,0.44488472
0.6900641,33.141365,0.44424576
1.1361307,32.137264,0.41840702
0.6489551,32.492188,0.3918631
0.62098294,31.841797,0.3406934
12.921279,34.1687,0.4423232
13.2176,34.242,0.42418906
13.513921,34.3153,0.40332675
13.810242,34.3886,0.37906146
12.967444,34.486618,0.42497402
13.263388,34.55922,0.39687985
13.559331,34.631824,0.36189276
13.01361,34.80453,0.4059286
13.3091755,34.87644,0.36772504
13.591622,33.38472,0.44967622
13.933412,33.445305,0.43020126
14.275202,33.50589,0.39414266
14.616991,33.56648,0.33461216
13.664495,33.719345,0.4440529
14.007419,33.781197,0.4221427
14.350342,33.843044,0.35556948
13.737369,34.053974,0.42775017
14.081426,34.117085,0.38640392
14.400628,32.71706,0.42958486
14.700843,32.77092,0.42193985
15.001058,32.824783,0.41064867
15.301272,32.878647,0.39195314
14.472749,33.0002,0.41141707
14.771416,33.052834,0.39611557
15.070083,33.10547,0.3680819
14.54487,33.283337,0.3808972
14.8419895,33.334747,0.3441789
2.199348,30.855951,0.4610537
1.6732264,31.184566,0.4157918
1.1471046,31.513182,0.38379997
1.670961,30.533825,0.42965814
1.1384655,30.86253,0.38549626
0.60597,31.191233,0.31525522
1.142574,30.211699,0.3951972
0.6037047,30.540491,0.29795754
0.6141869,29.889572,0.30343527
15.138894,32.214714,0.43643048
15.37001,32.272934,0.42526433
15.601127,32.331158,0.4110617
15.832242,32.38938,0.40242937
15.19302,32.436024,0.42282915
15.42317,32.4934,0.40865433
15.65332,32.550777,0.39232466
15.247147,32.657333,0.40833884
15.47633,32.713863,0.39203492
15.649534,31.891598,0.43243507
15.833046,31.91312,0.42736644
16.016558,31.934645,0.41587666
16.20007,31.95617,0.40085506
15.710437,32.057526,0.42878267
15.90054,32.084446,0.41874522
16.090645,32.111366,0.4141952
15.771339,32.223454,0.4129175
15.968035,32.255768,0.39621574
2.2797499,28.991318,0.47896892
1.7245623,29.290735,0.45484817
1.1693746,29.590153,0.41153538
1.7599926,28.64095,0.4681366
1.198614,28.93994,0.4278723
0.6372354,29.23893,0.32307982
1.2402353,28.290583,0.44403988
0.6726658,28.589144,0.34154332
0.72047794,27.940216,0.35818142
16.072948,31.767452,0.41229478
15.945827,31.578735,0.42614132
15.818705,31.39002,0.4302446
16.312374,31.782137,0.3964246
16.185835,31.594013,0.40799785
