x,y,e11_abs_error_t71,e22_abs_error_t71,e12_abs_error_t71
1.8311099,38.687588,0.0018937988,9.7103184e-05,0.0009486745
2.074575,38.61109,0.0007324335,0.00077976054,0.0001692914
2.3180404,38.53459,0.00019452418,2.4490524e-05,4.0637562e-05
2.5615056,38.458096,0.00062166597,0.00015012792,3.4216791e-06
1.993373,38.8901,0.00081311935,0.00070900645,0.0011569633
2.2464602,38.80496,0.00027930364,0.00014912453,7.830991e-05
2.4995472,38.719814,0.00026072166,2.5781337e-06,6.796885e-05
2.17488,39.07532,0.0002426668,0.00028750696,7.0609734e-05
2.4375892,38.981537,0.00032898737,0.00019139587,0.00013724412
2.3756309,39.24326,9.4504794e-05,6.960286e-05,0.0003008918
1.4549216,37.968254,0.0018448941,3.735919e-05,0.0006788499
1.7320184,37.959023,0.0012157215,0.00035036332,0.00025087578
2.0091152,37.949795,0.0004292787,6.1724684e-05,0.00018931221
2.286212,37.940563,0.0008013209,0.00034862105,0.00029858924
1.5621117,38.218517,0.0016170167,0.0007867889,0.00012274986
1.8483115,38.204044,0.0010273787,0.00074568414,6.5595115e-05
2.1345112,38.18957,0.00031145941,0.00016999885,1.4703779e-05
1.6875077,38.458294,0.0011271541,0.00021110708,0.00054364535
1.9828106,38.43858,0.0009819521,0.0008327076,7.805554e-05
6.447986,38.965843,0.001282965,0.0006753489,0.00017396035
6.6878014,39.15118,0.0008578028,0.00073574425,0.00019942643
6.9276166,39.336517,0.00011483999,0.0008183079,0.0014120634
7.167432,39.521854,0.00012486847,0.000766825,0.0009212955
6.282333,39.28026,0.0013496707,0.001138552,0.0005843905
6.5301204,39.48429,0.00026783813,0.0013753606,0.0019291507
6.777908,39.68832,0.0007657837,0.0013462909,0.0017055697
6.116679,39.59467,0.00043871673,0.0012963499,0.0017931794
6.372439,39.817398,0.00024029799,0.0013248442,0.0020366076
5.951026,39.909084,0.00095440407,0.0014025262,0.0016726779
7.1331334,38.76385,0.0006045785,0.00014418563,0.00023092888
7.450928,38.849033,0.000871775,6.5165295e-06,0.0005925817
7.768723,38.934216,0.0005811858,0.00014318316,0.00038314937
8.086518,39.019398,0.0013081888,0.00022033596,2.63541e-05
7.144566,39.01652,0.00054012565,0.00026787515,0.00014937297
7.462616,39.10311,0.00013851468,3.1297786e-05,0.0007988643
7.7806654,39.189705,0.0010288097,0.00022107635,7.789396e-05
7.1559987,39.269188,0.00039543957,0.0005200997,0.0012165022
7.4743032,39.357193,0.0004378343,0.00023495354,0.00052390527
8.828586,38.68565,0.002128719,0.00011845652,9.891996e-05
8.578567,38.79061,0.0017348644,3.614201e-06,4.6575442e-05
8.33121,38.90186,0.0016259137,0.00026884256,0.000110227615
8.630538,38.502308,0.001296822,0.00016872637,0.00010887254
8.381851,38.610413,0.0013086814,0.00014437735,0.00019974587
8.135827,38.724808,0.0013347897,5.39546e-05,0.00016190019
8.432491,38.318966,0.0020780326,0.00020234834,0.0008217795
8.185135,38.430214,0.0021496885,0.000293601,0.0006783593
8.234444,38.135624,0.0020364632,0.00024672737,0.0009294853
8.861869,37.984898,0.0018096864,2.7507165e-05,0.0010092244
9.05914,38.085526,0.0013776221,4.838078e-05,0.00069103343
9.256412,38.186153,0.0010842788,7.197625e-05,0.00045820605
9.453683,38.28678,0.0015372122,6.617047e-05,0.00064839004
8.850775,38.218483,0.0014345301,7.8743324e-07,0.00067187427
9.053646,38.328793,0.0010287603,2.4471869e-05,0.00046022702
9.256516,38.439106,0.0014944179,2.6256079e-05,0.0007382948
8.83968,38.452065,0.0014988077,0.00010205392,0.00010312069
9.048151,38.57206,0.0012465985,7.9503225e-06,0.00064526545
3.2379718,39.719036,0.001102401,0.0010893426,0.0010026568
2.9353228,39.58808,0.0011191235,0.00083999673,0.00078473287
2.6478758,39.42949,0.00016582827,0.000614583,0.0008536503
3.2805686,39.388187,0.001301266,0.0005085175,0.0004742851
2.9855206,39.243416,0.001166855,0.00030761352,0.000287864
2.7056746,39.071003,0.0007464795,8.52088e-05,0.00015487021
3.3231654,39.057343,0.0010165824,4.3867505e-05,0.00021431688
3.0357187,38.89875,0.0011451758,3.7854654e-05,0.00019225152
3.3657625,38.726494,0.0004288709,0.00024202187,0.00034838542
4.1614065,38.9873,0.00088471273,0.0011635358,0.0004776204
4.279971,39.32223,0.0007815767,0.00079700793,4.972238e-05
4.3985353,39.657166,0.0005049977,0.00011835876,0.0002712456
4.5171,39.992096,0.0006578582,0.00012332218,0.00023120409
3.8535948,39.231213,0.0001940775,0.00032850215,6.316928e-06
3.9660122,39.58669,0.00036403636,0.0002877827,0.00067127054
4.0784297,39.942165,0.0010918219,0.00058413704,0.00066208385
3.5457833,39.475124,0.0009855299,0.0005296685,0.00066954806
3.6520536,39.851143,0.00097271637,0.0009241195,0.0010037103
5.477366,39.97626,0.00021580819,0.0010957881,0.0016715389
4.999391,40.003933,0.0009782147,0.00052215834,0.0010780243
5.7606454,39.515438,0.0010701546,0.0012492975,0.00088969315
5.284828,39.562862,0.0014922232,0.0012993389,0.0005846317
4.804695,39.570778,0.0012992255,0.0009277377,0.00012218254
5.5702653,39.12179,0.0021276325,0.0010932744,2.9628864e-05
5.09229,39.14946,0.0025386098,0.0015019515,7.0015434e-05
5.379885,38.728146,0.0022489764,0.0008707107,4.6048546e-05
1.1737292,36.94111,0.002274882,1.7228944e-05,9.039091e-05
1.4947075,37.00582,0.001825803,0.00025128247,0.00014098769
1.8156857,37.070534,0.00022427458,7.2296476e-05,0.0008094337
2.1366642,37.135246,0.00061596604,9.3985465e-05,0.0012548668
1.2398866,37.29027,0.0022749854,0.00083745143,0.0005253466
1.5746516,37.351593,0.00157366,0.00034752116,0.00042884686
1.9094166,37.412914,0.0004402576,0.00016557158,0.0010999261
1.3336174,37.632652,0.0021604113,0.00050144736,0.00015984126
1.6821691,37.690586,0.0012601763,0.0004558809,0.00012726322
9.326107,37.456306,0.002250926,0.00034104157,0.00081825047
9.599195,37.529343,0.0019228561,0.00035945995,0.0007111812
9.872282,37.60238,0.001457918,0.00053157087,0.0001636506
10.14537,37.67542,0.000694545,0.0004152978,0.00043471484
9.368632,37.73313,0.0018387632,0.00017705423,0.0009511432
9.642258,37.805965,0.001337959,0.00040810893,0.0002632169
9.915883,37.8788,0.0018097269,0.00023641973,0.0005616648
9.411158,38.009956,0.001177839,0.00021403536,0.000363091
9.685321,38.082584,0.0015571951,0.00026721664,0.0004869122
11.564095,36.468864,0.00015107635,0.00039587723,0.00077810744
11.494565,36.253357,0.00044470746,0.00028808287,0.0006654118
11.4250345,36.03785,0.0015514502,0.00024757598,0.0006240243
11.355504,35.822342,0.0016123303,0.00023593829,0.00055310875
11.735493,36.345623,0.00010405481,0.0003799392,0.0007117819
11.667287,36.13195,0.0005641347,0.00020497467,0.00057106744
11.599081,35.918278,0.0014364012,0.00025707978,0.0005873982
11.909539,36.22605,0.000858983,0.00020311336,0.00028087525
11.842658,36.014214,3.111828e-05,0.00023744587,0.000332871
12.086235,36.11015,0.0011090059,0.00018718245,0.00021519512
2.1219835,35.912125,0.0011770073,0.00031388685,0.00024811388
1.8058988,36.25512,0.001131922,0.00015670998,9.34616e-05
1.4898139,36.598114,0.0018768897,0.00022659317,7.46171e-05
1.7350696,35.79215,0.0010359297,0.000109423185,0.00023735804
1.4223251,36.134678,0.0012800014,3.0779396e-05,0.0001728388
1.1095805,36.47721,0.001877984,0.00038432312,0.00038522691
1.3481557,35.672176,0.00056776125,5.5995042e-05,0.00014139013
1.0387514,36.01424,0.00024803728,0.00024980446,0.0001105601
0.9612417,35.5522,0.00034421496,6.3465726e-05,0.00046299188
9.966084,36.761005,0.0021131714,0.00047295692,0.00022741081
10.282975,36.847897,0.0014834469,0.0004971973,0.0001830007
10.599866,36.934788,0.00040199514,0.00040748616,0.00061234366
10.916758,37.021683,0.00047941133,0.0003624818,0.0006117588
10.025846,37.065807,0.0018634759,0.0005609443,1.3649464e-05
10.344675,37.155262,0.000685147,0.00047412456,0.00044265157
10.663505,37.24472,0.00021933671,0.0004185196,0.0003523049
10.085608,37.370613,0.0011934354,0.0005845822,0.00017619133
10.406375,37.46263,7.866323e-05,0.0005502607,0.000106435735
10.833222,36.774853,0.0002764631,0.00042890338,0.00071502896
10.749686,36.528023,0.0014575846,0.00047595392,2.4910085e-05
10.666151,36.281197,0.0019914666,0.00029104738,0.0005820864
11.128115,36.831535,0.00018741284,0.0003415118,0.00054143183
11.04679,36.587643,0.00018588547,0.0004892464,0.0007457477
10.965466,36.34375,0.0015741638,0.00043158053,0.00027231453
11.343894,36.647263,0.00042286236,0.00044443132,0.0008404548
11.26478,36.406307,7.2428025e-05,0.00041985285,0.00069725374
12.52616,35.69359,0.00037132856,0.00035535224,0.00011205673
12.388285,35.843197,0.0006860802,0.0001776503,0.00020083832
12.241643,35.98205,0.00056403875,0.00018711161,0.00019822177
12.307179,35.604115,4.640408e-05,0.00041610154,0.00038448395
12.164921,35.748344,0.00012937374,0.0003282912,0.00022199377
12.013896,35.88182,0.00014098547,0.00024480722,0.000110087916
12.0882,35.51464,0.0010799263,0.00050430075,4.4751447e-05
11.941558,35.653492,0.0011867955,0.0004139553,0.00025861477
11.869219,35.425167,0.0016301861,0.00055389106,0.00017810334
2.0759482,34.463024,0.00092025334,6.2881736e-05,0.00049268734
1.7043794,34.82608,0.00017502764,0.00017670417,0.0002814927
1.3328105,35.18914,3.001932e-05,0.00015345358,9.8003075e-05
1.6320688,34.238457,5.9151556e-05,0.00025399058,0.00011831196
1.2548895,34.602432,0.0002900157,0.00041876294,0.00018186402
0.8777102,34.966408,0.0013104668,0.0005303682,0.00049610063
1.1881893,34.013893,0.00012047961,0.00025711476,0.00013681734
0.8053996,34.378784,0.0014511477,0.00051126315,0.0006328663
0.74430984,33.789326,0.0017091632,0.000522707,0.0007393677
13.059776,35.122444,3.2472424e-05,0.00044991774,0.0006196834
12.878378,35.308624,0.00019576307,0.00041557028,0.00040090177
12.700506,35.499004,0.00015864335,0.0004254295,0.00033962075
12.815469,35.037327,0.00041341502,0.0004888098,0.0009930562
12.635834,35.22561,8.392148e-06,0.00047654682,0.0006055548
12.459724,35.41809,2.9742718e-05,0.00044572965,0.00053031044
12.571161,34.95221,0.00041969307,0.0005773191,0.0006895205
12.39329,35.14259,0.0007221801,0.0005673094,0.00036557857
12.326854,34.867092,0.0009760335,0.0005883904,0.0004515387
2.166426,32.728203,0.0013989939,0.0004025945,6.1497325e-05
1.6923873,33.081913,0.00027571665,0.0003393179,1.892657e-05
1.2183486,33.43562,5.3085387e-06,5.2520933e-05,8.910289e-05
1.6512784,32.432735,0.0006142827,0.0006603899,2.9538525e-05
1.1706712,32.78705,0.0010960237,0.00031132434,0.00027558766
0.6900641,33.141365,0.0025409847,0.0005515074,0.0007675127
1.1361307,32.137264,0.0012259749,0.00028420362,0.00054783
0.6489551,32.492188,0.0019341866,0.0002872169,0.0009051352
0.62098294,31.841797,0.0010346044,0.00030046314,0.00054267514
12.921279,34.1687,0.00012045354,0.000423462,0.0008046571
13.2176,34.242,5.8645383e-06,0.00044067303,0.00084858993
13.513921,34.3153,0.000597978,0.0003996243,0.0012046075
13.810242,34.3886,0.00018840935,0.00034564728,0.000989724
12.967444,34.486618,0.0001682071,0.0005114365,0.0007955753
13.263388,34.55922,0.0005412549,0.00043317268,0.0010755314
13.559331,34.631824,0.00022386387,0.00042540889,0.00093376497
13.01361,34.80453,0.00042970665,0.0004816653,0.0010247664
13.3091755,34.87644,0.00015333947,0.00044247106,0.0007921788
13.591622,33.38472,0.00052729156,0.00094281125,0.001752241
13.933412,33.445305,0.00078819226,0.0008514687,0.0019499122
14.275202,33.50589,0.0022677789,0.0005760445,0.0025369325
14.616991,33.56648,0.0018250309,0.00057546404,0.0023156675
13.664495,33.719345,0.00027539767,0.00078156625,0.001688784
14.007419,33.781197,0.0012674192,0.00072732416,0.0021695327
14.350342,33.843044,0.0013431367,0.0006005213,0.0019564005
13.737369,34.053974,0.0008850731,0.0005229616,0.0016022124
14.081426,34.117085,0.00049240235,0.00039125996,0.0012930203
14.400628,32.71706,0.0018249918,0.00028257456,0.001556119
14.700843,32.77092,0.001532523,0.00031009514,0.0015792535
15.001058,32.824783,0.0018809717,0.00014848972,0.001880273
15.301272,32.878647,0.0014772341,0.000100096455,0.0013426957
14.472749,33.0002,0.002114999,0.00032674533,0.0019005472
14.771416,33.052834,0.0025438275,0.00016104127,0.0021929834
15.070083,33.10547,0.0008813217,9.559165e-05,0.0017973585
14.54487,33.283337,0.002971854,0.00025096384,0.0024867514
14.8419895,33.334747,0.0014842423,0.00029205903,0.0021046097
2.199348,30.855951,0.0016189754,0.0006245939,0.00040971627
1.6732264,31.184566,0.0012386988,0.0007125891,4.0075276e-05
1.1471046,31.513182,0.0019699964,0.00035260673,7.2460854e-05
1.670961,30.533825,0.0017452354,0.0006379831,0.00014732196
1.1384655,30.86253,0.0020889444,0.00038463276,1.0540942e-05
0.60597,31.191233,0.0003577075,0.00032368398,0.00025879405
1.142574,30.211699,0.0028214422,0.00047447503,0.00044828863
0.6037047,30.540491,0.00018757116,0.00036137667,1.3681594e-05
0.6141869,29.889572,0.00084524695,0.0004071002,0.00021001277
15.138894,32.214714,0.0019186493,1.0063872e-05,0.0008507434
15.37001,32.272934,0.0014514178,3.961264e-06,0.0008424104
15.601127,32.331158,0.0017476259,0.00013993285,0.00093612773
15.832242,32.38938,0.00071810186,0.00013670209,0.00066330144
15.19302,32.436024,0.0014892314,0.00012626266,0.0011456278
15.42317,32.4934,0.0018846747,4.2981817e-05,0.0011122751
15.65332,32.550777,0.00072011445,0.000121388235,0.0006092596
15.247147,32.657333,0.0022339001,5.6710094e-05,0.0016271183
15.47633,32.713863,0.00031072088,7.60596e-05,0.001653974
15.649534,31.891598,0.0010668673,3.6043813e-05,0.0007694948
15.833046,31.91312,0.001221111,6.5733795e-05,0.000732708
16.016558,31.934645,0.0005921563,8.498249e-05,0.0008443678
16.20007,31.95617,0.00017487723,8.157361e-05,0.00052946014
15.710437,32.057526,0.001515287,9.973999e-05,0.00071119773
15.90054,32.084446,0.000929581,0.00012152572,0.0007937697
16.090645,32.111366,0.00028922316,0.00020567485,0.00056431326
15.771339,32.223454,0.0012817141,0.00018250023,0.00087079825
15.968035,32.255768,0.00025377423,0.00019514229,0.0005005086
2.2797499,28.991318,0.0022845059,0.00066005473,0.00028512673
1.7245623,29.290735,0.0022362205,0.000697728,6.1606755e-05
1.1693746,29.590153,0.003339531,0.0006052104,0.00095838564
1.7599926,28.64095,0.002276357,0.00039113645,0.00023752893
1.198614,28.93994,0.0039992183,0.00068295375,0.0013069375
0.6372354,29.23893,0.0016779392,0.00047017832,0.00048654806
1.2402353,28.290583,0.004099843,0.0003636588,0.0018258542
0.6726658,28.589144,0.0022661518,0.0005417608,0.00076288055
0.72047794,27.940216,0.0013630777,0.0005770973,0.0004903227
16.072948,31.767452,0.000720297,8.902885e-05,0.0007243501
15.945827,31.578735,0.00079496205,0.00020486198,0.000523634
15.818705,31.39002,0.0007750229,0.00022986601,0.000570602
16.312374,31.782137,0.00038095936,2.4656416e-05,0.00023497106
16.185835,31.594013,0.0009845551,0.00012497441,0.0005870452
16.059298,31.40589,0.00081141666,0.00017298723,0.00059342175
16.425846,31.609291,0.0003641704,3.136252e-05,0.00027056667
16.29989,31.42176,0.0011121761,0.0001631144,0.00073862844
16.540483,31.437632,0.0005572755,0.00014200213,0.00050322386
2.4302886,27.107105,0.0009924526,1.7008337e-05,0.00023715559
1.8603517,27.38481,0.0018563522,0.00021844445,0.00071734097
1.2904148,27.662512,0.0025653136,0.0002844273,0.0014610644
1.9325256,26.73807,0.0019109637,9.2842325e-05,0.00013182813
1.356562,27.014824,0.0018270488,0.00020893122,0.0002591284
0.7805984,27.291578,0.0005773613,0.0006160181,0.00022069854
1.4347628,26.369036,0.0026857145,0.00025350752,0.0002608361
0.8527724,26.64484,0.002431972,0.000658457,3.4534838e-05
0.937,26.0,0.0030609167,0.0006970513,0.00023929495
16.958448,30.716629,0.00048143696,0.00028004276,0.00061979634
16.825024,30.960714,0.00045027025,0.0002332679,0.0005801467
16.685701,31.201048,0.0004157191,0.00013499276,0.00048070634
16.665253,30.70676,0.0011538081,0.00037364708,0.0010575426
