concentration,j_0(c)
0.085926031,0.0012203697
0.071048654,0.001152067
0.060858766,0.0010932643
0.055140338,0.0010438624
0.05943605,0.0011491596
0.052146544,0.0010895849
0.047038858,0.0010394382
0.044866557,0.00108848
0.040929906,0.0010374349
0.039813696,0.0010379537
0.142714353,0.0014556954
0.118839463,0.0013481923
0.100255479,0.0012487732
0.083069098,0.0011610865
0.142714353,0.0013819634
0.106392402,0.0012742301
0.083629974,0.0011792323
0.117339152,0.0013007275
0.084005939,0.0011990395
0.051186838,0.00075669854
0.049878135,0.0007619245
0.045736979,0.0007661156
0.038518016,0.0007673623
0.049367395,0.00075635803
0.044572773,0.0007664441
0.039075126,0.0007755126
0.046147235,0.0007589612
0.040973559,0.00077384064
0.044213316,0.00076449197
0.045089931,0.00075848214
0.033941618,0.000750667
0.021777741,0.0007367029
0.020556879,0.0007170079
0.046044341,0.0007592853
0.03459588,0.00075156376
0.024614825,0.0007370739
0.042799027,0.0007623461
0.033254164,0.000754287
0.062107197,0.0006624918
0.062107197,0.00068133825
0.043272648,0.00069963525
0.045175706,0.000681744
0.037065682,0.0006989381
0.023338567,0.00071510725
0.02694625,0.00070035877
0.022251595,0.00071554567
0.015840899,0.0007184191
0.022247985,0.00067661563
0.02359895,0.0006580088
0.028266077,0.00063918286
0.034148001,0.00062018214
0.030246081,0.0006708235
0.044227797,0.00065172947
0.034148001,0.0006322762
0.053418958,0.0006661405
0.069103647,0.0006464687
0.047701209,0.00089482573
0.049828082,0.000939973
0.039921901,0.0009857949
0.034526634,0.00089714525
0.035383612,0.000940938
0.034815799,0.000986912
0.023215958,0.0009030715
0.026503166,0.00094544725
0.023879945,0.0009121069
0.012801384,0.00080948806
0.013275033,0.00078247546
0.014555353,0.0007657896
0.016681132,0.00076007453
0.016082812,0.00083097076
0.016213278,0.0008057363
0.014041773,0.000789882
0.028328952,0.00085964217
0.035658002,0.00083713565
0.035163167,0.0007526993
0.019543766,0.0007483618
0.040306216,0.00074645405
0.02563207,0.0007391283
0.016193622,0.00074550224
0.034608244,0.00073963805
0.018058422,0.000741763
0.023823567,0.00074903935
0.136911263,0.0016059132
0.104447522,0.0015001742
0.072432583,0.001393996
0.053831215,0.0012897202
0.140638208,0.0015817264
0.110485474,0.0014610931
0.080381705,0.0013403161
0.142550786,0.001532893
0.115376362,0.0013962573
0.029355866,0.000659623
0.021698106,0.00063506
0.014900884,0.00061070017
0.012778473,0.0005865096
0.020453386,0.0006452593
0.017272177,0.0006208821
0.013432775,0.0005965546
0.017855338,0.0006321804
0.015313452,0.0006077509
0.0126,0.00054197334
0.0126,0.0005595261
0.014247568,0.000577403
0.016935096,0.0005956675
0.0126,0.00053733034
0.012846141,0.00055499305
0.014237945,0.0005729438
0.012606225,0.00053265045
0.012931759,0.0005504195
0.0126,0.00052793394
0.021976041,0.0013351195
0.047189885,0.0014110082
0.092767195,0.0015028307
0.04610269,0.0014250634
0.087130612,0.0015153079
0.132350382,0.0016171084
0.073881001,0.0015271086
0.130007824,0.0016255196
0.101169923,0.0016378168
0.016072831,0.0006428592
0.0126,0.000614082
0.0126,0.00058599596
0.0126,0.0005582838
0.015728386,0.00062274566
0.0126,0.0005942237
0.0126,0.00056608743
0.013502213,0.00060403586
0.0126,0.0005754873
0.0126,0.00057714916
0.0126,0.0005966045
0.012665894,0.0006167812
0.0126,0.00055277493
0.0126,0.0005718529
0.0126,0.00059145957
0.0126,0.00054734846
0.0126,0.00056660594
0.0126,0.0005266921
0.0126,0.000525381
0.0126,0.0005258097
0.012606929,0.00054686534
0.012651052,0.0005463015
0.012685028,0.0005474475
0.013071596,0.0005670485
0.013550226,0.0005672278
0.015455459,0.0005873403
0.050704676,0.0013473713
0.04215243,0.0014268548
0.045756462,0.0015252773
0.048889341,0.0014515701
0.036965459,0.0015479269
0.03032044,0.0016565055
0.046466214,0.001577426
0.037402115,0.0016816269
0.055947031,0.0017124371
0.0126,0.0005357287
0.0126,0.0005324159
0.0126,0.0005294115
0.0126,0.00055654946
0.0126,0.00055321876
0.0126,0.0005501847
0.0126,0.0005774201
0.0126,0.0005740738
0.0126,0.00059844524
0.031644324,0.0013823439
0.049971369,0.001476102
0.082150269,0.001588206
0.073391796,0.0015233724
0.10675914,0.0016321283
0.113526429,0.0017508665
0.094534806,0.0016789925
0.117731635,0.0017915989
0.117734082,0.0018311224
0.0126,0.0006202687
