concentration,mu_h(c)
0.03284051,-0.3564644
0.043108047,-0.3480482
0.0501909,-0.3432598
0.044704456,-0.31102157
0.058156008,-0.30593467
0.057000304,-0.27224135
0.016223223,-0.0056757927
0.014054324,0.02706027
0.03150051,0.061714888
0.0126,0.011057615
0.01466334,0.044946194
0.041602685,0.083186865
0.0126,0.07183957
0.0126,0.109415054
0.0126,0.17620325
0.014215888,-0.28478885
0.015303311,-0.34532738
0.015809659,-0.41606283
0.014490738,-0.49712706
0.01551064,-0.32183266
0.01408465,-0.38603687
0.013186344,-0.46092796
0.021710783,-0.36294842
0.015845973,-0.43111897
0.213634442,0.59428656
0.219142794,0.58709943
0.21534068,0.5764849
0.224320726,0.5609981
0.262211924,0.52965593
0.266310272,0.50853944
0.278961678,0.48095787
0.327014868,0.39854413
0.339853927,0.36057287
0.400031318,0.21461451
0.0126,0.089726925
0.0126,0.1146543
0.0126,0.14245415
0.021416687,0.21889067
0.012722982,0.2446487
0.0126,0.27620745
0.056012189,0.36734223
0.044243069,0.39558887
0.088345587,0.5098696
0.102673848,0.44178557
0.100354297,0.46408486
0.109154728,0.48619652
0.127804004,0.55053353
0.122105936,0.56552434
0.125151836,0.5798969
0.151862528,0.6023755
0.127482759,0.60273015
0.365424919,0.30953854
0.377894549,0.2820344
0.39048456,0.25054234
0.420779153,0.1763036
0.435298244,0.14255266
0.454369369,0.10510497
0.477800567,0.045173265
0.505328979,0.0077655576
0.551530953,-0.07124129
0.551530953,-0.12036599
0.598099775,-0.15502906
0.601745257,-0.1786038
0.517637539,-0.031658027
0.550144902,-0.0806306
0.574813137,-0.1150077
0.501442615,0.0071771927
0.530457056,-0.041139677
0.486817094,0.045026913
0.027518722,-0.3469684
0.023109361,-0.44533467
0.015643948,-0.55642676
0.0126,-0.6782026
0.024897901,-0.39513683
0.018795564,-0.5009644
0.0126,-0.62042
0.019359642,-0.4444244
0.015236067,-0.5586877
0.601745257,-0.194644
0.60878476,-0.20775518
0.618926494,-0.21953452
0.573297754,-0.123235986
0.579458284,-0.14152373
0.586171462,-0.15593284
0.548673716,-0.066643976
