x,y,gt_c0,mu_h_at_gt_c0,j0_at_gt_c0,gt_c16,mu_h_at_gt_c16,j0_at_gt_c16,gt_c30,mu_h_at_gt_c30,j0_at_gt_c30,gt_c43,mu_h_at_gt_c43,j0_at_gt_c43,gt_c63,mu_h_at_gt_c63,j0_at_gt_c63,gt_c71,mu_h_at_gt_c71,j0_at_gt_c71
1.8311099,38.687588,0.08592603,0.37757325,0.001808819,0.10686,0.4801495,0.0021865217,0.136821,0.56302285,0.002686329,0.1651534,0.59698105,0.0031159897,0.44800055,0.1355878,0.0053158496,0.6909128,-0.45983446,0.0044667833
2.074575,38.61109,0.071048655,0.2698245,0.0015258081,0.08863826,0.39366126,0.0018590984,0.12359052,0.53372395,0.0024714586,0.14682283,0.5789987,0.0028427145,0.4389167,0.1589338,0.00530046,0.67229646,-0.42235714,0.0046160654
2.3180404,38.53459,0.060858767,0.17158341,0.0013248532,0.07657422,0.31409574,0.0016323512,0.11504529,0.5089598,0.002327785,0.13886249,0.56668246,0.0027186703,0.43735224,0.1629386,0.0052974555,0.66418314,-0.4052288,0.0046768184
2.5615056,38.458096,0.05514034,0.10470581,0.0012095162,0.06995441,0.26037216,0.0015045073,0.110730335,0.49444103,0.0022537622,0.13795772,0.56508696,0.0027043645,0.44120705,0.15306222,0.005304669,0.6614039,-0.39925992,0.004697028
1.993373,38.8901,0.05943605,0.15583587,0.001296331,0.06849056,0.24734521,0.0014759069,0.10995759,0.49168658,0.0022404012,0.14174542,0.57149386,0.0027639733,0.41023245,0.23143616,0.005228821,0.6491168,-0.37229228,0.004782684
2.2464602,38.80496,0.052146543,0.06554365,0.0011483921,0.05947341,0.15625644,0.0012970817,0.103388935,0.4662342,0.002125535,0.13512519,0.5598179,0.0026592994,0.41007367,0.23183131,0.0052283276,0.6430131,-0.35856682,0.0048229974
2.4995472,38.719814,0.047038857,-0.009091377,0.001042928,0.053369228,0.081914425,0.0011734172,0.100179106,0.4523778,0.0020685599,0.13585833,0.5612221,0.002671004,0.41555566,0.21814546,0.005244773,0.636003,-0.34255427,0.00486746
2.17488,39.07532,0.04486656,-0.044264555,0.0009976209,0.045212522,-0.038511753,0.0010048545,0.08920051,0.39687848,0.0018694709,0.12436089,0.53571606,0.002484222,0.37873936,0.3080855,0.0051094573,0.65087694,-0.376211,0.004770784
2.4375892,38.981537,0.040929906,-0.11414099,0.0009148215,0.03966338,-0.13850641,0.000887993,0.08869456,0.39398503,0.0018601383,0.12972035,0.54855835,0.002572151,0.38753358,0.287061,0.0051471116,0.62972003,-0.32799017,0.004905638
2.3756309,39.24326,0.039813697,-0.13556242,0.0008911819,0.035830755,-0.2187314,0.00080623897,0.07832305,0.32699203,0.0016657178,0.11553981,0.51053286,0.0023362048,0.36142707,0.3484543,0.005025465,0.66690916,-0.411034,0.0046566995
1.4549216,37.968254,0.14271435,0.5730195,0.002779103,0.18714017,0.603057,0.0034213562,0.19658685,0.6014372,0.0035451623,0.20312664,0.5990293,0.0036282958,0.5518473,-0.13519548,0.0052469247,0.81687,-0.6030296,0.003097547
1.7320184,37.959023,0.118839465,0.5205786,0.0023920552,0.16595949,0.59747803,0.003127613,0.17944826,0.6026038,0.003317279,0.17940234,0.6025958,0.003316648,0.5296117,-0.07750313,0.0052991803,0.78219956,-0.59019494,0.003536607
2.0091152,37.949795,0.10025548,0.4527192,0.0020699224,0.14255331,0.57276905,0.0027765916,0.16059712,0.593734,0.003049664,0.15948191,0.5928229,0.0030332685,0.508684,-0.022765927,0.0053298185,0.7464115,-0.5521728,0.0039403825
2.286212,37.940563,0.0830691,0.3595574,0.00175542,0.121439524,0.5279592,0.0024356574,0.14444229,0.5756297,0.0028059634,0.1463688,0.57837605,0.0028357292,0.49343404,0.017214473,0.0053407517,0.7227143,-0.5168485,0.0041800207
1.5621117,38.218517,0.14271435,0.5730195,0.002779103,0.18714017,0.603057,0.0034213562,0.19658685,0.6014372,0.0035451623,0.20312664,0.5990293,0.0036282958,0.5518473,-0.13519548,0.0052469247,0.81687,-0.6030296,0.003097547
1.8483115,38.204044,0.1063924,0.47833705,0.002178343,0.14169788,0.5714177,0.0027632292,0.16085733,0.59394,0.003053479,0.16692042,0.59804106,0.0031414288,0.49897474,0.002688237,0.0053378935,0.74029946,-0.5437374,0.0040043057
2.1345112,38.18957,0.08362997,0.3631842,0.0017659387,0.11437806,0.50680757,0.0023164032,0.13998581,0.56860626,0.0027363743,0.14604376,0.5779247,0.0028307196,0.4760942,0.0626081,0.0053414437,0.705943,-0.48799372,0.0043362356
1.6875077,38.458294,0.11733915,0.5161078,0.0023667328,0.15174872,0.5851692,0.0029178392,0.16947056,0.5993819,0.0031778645,0.18913881,0.60290706,0.0034479187,0.5010314,-0.002704267,0.0053365105,0.7525355,-0.56010914,0.0038748567
1.9828106,38.43858,0.08400594,0.3655901,0.00177298,0.10904357,0.48836565,0.0022245569,0.13745736,0.56418645,0.0026964336,0.15251288,0.5860331,0.0029293813,0.4612041,0.101410285,0.0053320103,0.6971473,-0.47175932,0.0044137174
6.447986,38.965843,0.051186837,0.05231142,0.0011286897,0.0822181,0.35396743,0.0017394274,0.21293677,0.59361947,0.0037490774,0.19443421,0.6020056,0.003517338,0.45908612,0.10690944,0.0053299125,0.6548205,-0.38492477,0.004743671
6.6878014,39.15118,0.049878135,0.033699512,0.0011017383,0.06699088,0.23352814,0.0014464835,0.19386367,0.6021372,0.0035099254,0.18318945,0.6030332,0.0033682666,0.4399524,0.15627988,0.0053023915,0.6062168,-0.2719305,0.005034423
6.9276166,39.336517,0.04573698,-0.029902458,0.0010158077,0.051703904,0.059483528,0.0011393116,0.16801375,0.5986428,0.0031570897,0.16719493,0.59819615,0.0031453664,0.416951,0.21464792,0.005248751,0.5515995,-0.13455649,0.005247617
